Item,Type,Structure,Plausibility,Sentence,Question,Answer
12,Target,DO,implausible,The father gave the car the son.,Did the car receive something/someone?,Yes
12,Target,DO,plausible,The father gave the son the car.,Did the car receive something/someone?,No
12,Target,PO,implausible,The father gave the son to the car.,Did the car receive something/someone?,Yes
12,Target,PO,plausible,The father gave the car to the son.,Did the car receive something/someone?,No
13,Target,DO,implausible,The shop sold the bike the student.,Did the bike receive something/someone?,Yes
13,Target,DO,plausible,The shop sold the student the bike.,Did the bike receive something/someone?,No
13,Target,PO,implausible,The shop sold the student to the bike.,Did the bike receive something/someone?,Yes
13,Target,PO,plausible,The shop sold the bike to the student.,Did the bike receive something/someone?,No
14,Target,DO,implausible,The janitor lent the mop the teacher.,Did the mop receive something/someone?,Yes
14,Target,DO,plausible,The janitor lent the teacher the mop.,Did the mop receive something/someone?,No
14,Target,PO,implausible,The janitor lent the teacher to the mop.,Did the mop receive something/someone?,Yes
14,Target,PO,plausible,The janitor lent the mop to the teacher.,Did the mop receive something/someone?,No
15,Target,DO,implausible,The car dealer leased the SUV the plumber.,Did the SUV receive something/someone?,Yes
15,Target,DO,plausible,The car dealer leased the plumber the SUV.,Did the SUV receive something/someone?,No
15,Target,PO,implausible,The car dealer leased the plumber to the SUV.,Did the SUV receive something/someone?,Yes
15,Target,PO,plausible,The car dealer leased the SUV to the plumber.,Did the SUV receive something/someone?,No
16,Target,DO,implausible,The host tossed the microphone the contestant.,Did the contestant receive something/someone?,No
16,Target,DO,plausible,The host tossed the contestant the microphone.,Did the contestant receive something/someone?,Yes
16,Target,PO,implausible,The host tossed the contestant to the microphone.,Did the contestant receive something/someone?,No
16,Target,PO,plausible,The host tossed the microphone to the contestant.,Did the contestant receive something/someone?,Yes
17,Target,DO,implausible,The quarterback passed the ball the receiver.,Did the receiver receive something/someone?,No
17,Target,DO,plausible,The quarterback passed the receiver the ball.,Did the receiver receive something/someone?,Yes
17,Target,PO,implausible,The quarterback passed the receiver to the ball.,Did the receiver receive something/someone?,No
17,Target,PO,plausible,The quarterback passed the ball to the receiver.,Did the receiver receive something/someone?,Yes
18,Target,DO,implausible,The videostore rented the DVD the customer.,Did the customer receive something/someone?,No
18,Target,DO,plausible,The videostore rented the customer the DVD.,Did the customer receive something/someone?,Yes
18,Target,PO,implausible,The videostore rented the customer to the DVD.,Did the customer receive something/someone?,No
18,Target,PO,plausible,The videostore rented the DVD to the customer.,Did the customer receive something/someone?,Yes
19,Target,DO,implausible,The bartender handed the drink the lady.,Did the lady receive something/someone?,No
19,Target,DO,plausible,The bartender handed the lady the drink.,Did the lady receive something/someone?,Yes
19,Target,PO,implausible,The bartender handed the lady to the drink.,Did the lady receive something/someone?,No
19,Target,PO,plausible,The bartender handed the drink to the lady.,Did the lady receive something/someone?,Yes
20,Target,DO,implausible,The magician threw the hat the assistant.,Did the assistant receive something/someone?,No
20,Target,DO,plausible,The magician threw the assistant the hat.,Did the assistant receive something/someone?,Yes
20,Target,PO,implausible,The magician threw the assistant to the hat.,Did the assistant receive something/someone?,No
20,Target,PO,plausible,The magician threw the hat to the assistant.,Did the assistant receive something/someone?,Yes
