item_id,pair_id,family,condition,plausibility,observed,intended,edit_type,edit_distance,expected,literal_interp,edited_interp,notes,slp_observed,slp_intended,slp_gain,gate_slp,edit_from,edit_to,reach_dist,reach_ok,miss_ntok,contrast_gain_keep,gate_pass,gate_note
SUBN-05a,SUBN-05,SUBN,implausible,implaus,they reciesofted the parcel yesterday,they received the parcel yesterday,sub,3,edit,nonword 'recieofted','received',FAR edit (d~3): expect LOW edit rate; may be unreachable at max_dist=2 -> reachability gate,-77.077,-40.546,36.532,pass,reciesofted,received,4,NO,,,FAIL,unreachable (dist>max_dist)
SUBN-06a,SUBN-06,SUBN,implausible,implaus,the chef seasoned the suop,the chef seasoned the soup,sub,1,edit,nonword 'suop','soup',d=1 transposition (suop->soup),-60.298,-49.862,10.435,pass,suop,soup,1,yes,,,PASS,
SUBN-06b,SUBN-06,SUBN,plausible,plaus,the chef seasoned the soup,the chef seasoned the soup,none,0,keep,'chef','chef' (already correct),correctly spelled twin,-49.862,-49.862,0.0,n/a,,,,,,,PASS,
DELTO-01a,DELTO-01,DEL_TO,implausible,implaus,The mother gave the candle a daughter,The mother gave the candle to a daughter,del_to,1,edit,candle is the recipient (implausible),daughter is the recipient via to-dative,role-swap pair; canonical Gibson item,-42.42,-41.585,0.835,pass,,to,,,1,,PASS,
DELTO-01b,DELTO-01,DEL_TO,plausible,plaus,The mother gave the daughter a candle,The mother gave the daughter a candle,none,0,keep,daughter is the recipient (plausible DO),'to' inserted (reject),"matched plausible: same words, swapped roles",-34.373,-34.373,0.0,n/a,,,,,,,PASS,
DELTO-02a,DELTO-02,DEL_TO,implausible,implaus,The waiter served the soup the customers,The waiter served the soup to the customers,del_to,1,edit,soup is the recipient (implausible),customers are the recipient via to-dative,role-swap pair,-46.052,-42.607,3.446,pass,,to,,,1,,PASS,
DELTO-02b,DELTO-02,DEL_TO,plausible,plaus,The waiter served the customers the soup,The waiter served the customers the soup,none,0,keep,customers are the recipient (plausible DO),'to' inserted (reject),matched plausible,-43.009,-43.009,0.0,n/a,,,,,,,PASS,
DELTO-03a,DELTO-03,DEL_TO,implausible,implaus,The teacher read the story the children,The teacher read the story to the children,del_to,1,edit,story is the recipient (implausible),children are the recipient via to-dative,role-swap pair,-40.041,-37.215,2.825,pass,,to,,,1,,PASS,
DELTO-03b,DELTO-03,DEL_TO,plausible,plaus,The teacher read the children the story,The teacher read the children the story,none,0,keep,children are the recipient (plausible DO),'to' inserted (reject),matched plausible,-41.173,-41.173,0.0,n/a,,,,,,,PASS,
DELTO-04a,DELTO-04,DEL_TO,implausible,implaus,The judge awarded the trophy the winner,The judge awarded the trophy to the winner,del_to,1,edit,trophy is the recipient (implausible),winner is the recipient via to-dative,role-swap pair,-41.435,-37.559,3.876,pass,,to,,,1,,PASS,
DELTO-04b,DELTO-04,DEL_TO,plausible,plaus,The judge awarded the winner the trophy,The judge awarded the winner the trophy,none,0,keep,winner is the recipient (plausible DO),'to' inserted (reject),matched plausible,-38.465,-38.465,0.0,n/a,,,,,,,PASS,
DELFOR-01a,DELFOR-01,DEL_FOR,implausible,implaus,The tailor sewed the dress the bride,The tailor sewed the dress for the bride,del_for,1,edit,dress is the beneficiary (implausible),bride is the beneficiary via for-dative,role-swap pair (for-benefactive),-53.536,-51.757,1.779,pass,,for,,,1,,PASS,
DELFOR-01b,DELFOR-01,DEL_FOR,plausible,plaus,The tailor sewed the bride the dress,The tailor sewed the bride the dress,none,0,keep,bride is the beneficiary (plausible DO),'for' inserted (reject),matched plausible,-54.322,-54.322,0.0,n/a,,,,,,,PASS,
DELFOR-02a,DELFOR-02,DEL_FOR,implausible,implaus,The father cooked the dinner the family,The father cooked the dinner for the family,del_for,1,edit,dinner is the beneficiary (implausible),family is the beneficiary via for-dative,role-swap pair,-41.419,-38.481,2.938,pass,,for,,,1,,PASS,
DELFOR-02b,DELFOR-02,DEL_FOR,plausible,plaus,The father cooked the family the dinner,The father cooked the family the dinner,none,0,keep,family is the beneficiary (plausible DO),'for' inserted (reject),matched plausible,-41.914,-41.914,0.0,n/a,,,,,,,PASS,
DELFOR-03a,DELFOR-03,DEL_FOR,implausible,implaus,The baker iced the cake the children,The baker iced the cake for the children,del_for,1,edit,cake is the beneficiary (implausible),children are the beneficiary via for-dative,role-swap pair,-52.215,-50.749,1.467,pass,,for,,,1,,PASS,
DELFOR-03b,DELFOR-03,DEL_FOR,plausible,plaus,The baker iced the children the cake,The baker iced the children the cake,none,0,keep,children are the beneficiary (plausible DO),'for' inserted (reject),matched plausible,-53.498,-53.498,0.0,n/a,,,,,,,PASS,
DELFROM-01a,DELFROM-01,DEL_FROM,implausible,implaus,The businessman benefited the tax law,The businessman benefited from the tax law,del_from,1,edit,businessman acts on the tax law (implausible transitive),businessman benefits from the tax law,transitive->intransitive (Gibson's other frame),-46.085,-39.678,6.407,pass,,from,,,1,,PASS,
DELFROM-01b,DELFROM-01,DEL_FROM,plausible,plaus,The businessman benefited from the tax law,The businessman benefited from the tax law,none,0,keep,benefits from the tax law (plausible),'from' removed/literal-transitive (reject),matched plausible: complete intransitive form,-39.678,-39.678,0.0,n/a,,,,,,,PASS,
DELFROM-02a,DELFROM-02,DEL_FROM,implausible,implaus,The patient slowly recovered the illness,The patient slowly recovered from the illness,del_from,1,edit,patient acts on the illness (implausible transitive),patient recovers from the illness,transitive->intransitive,-37.763,-34.019,3.744,pass,,from,,,1,,PASS,
DELFROM-02b,DELFROM-02,DEL_FROM,plausible,plaus,The patient slowly recovered from the illness,The patient slowly recovered from the illness,none,0,keep,recovers from the illness (plausible),'from' removed (reject),matched plausible,-34.019,-34.019,0.0,n/a,,,,,,,PASS,
INS-01a,INS-01,INS_DUP,implausible,implaus,the boy handed handed the pencil to the girl,the boy handed the pencil to the girl,ins,1,edit,two handing events (implausible),one handing event; 'handed' doubled,doubled content word,-58.551,-48.992,9.559,pass,handed,,,,,,PASS,
INS-01b,INS-01,INS_DUP,plausible,plaus,the boy handed the pencil to the girl,the boy handed the pencil to the girl,none,0,keep,one handing event,drop a word (reject),matched single-word twin,-48.992,-48.992,0.0,n/a,,,,,,-2.716,PASS,
INS-02a,INS-02,INS_DUP,implausible,implaus,the cat sat on on the mat,the cat sat on the mat,ins,1,edit,'on on' (implausible),'on' doubled,doubled function word,-52.606,-43.045,9.561,pass,on,,,,,,PASS,
INS-02b,INS-02,INS_DUP,plausible,plaus,the cat sat on the mat,the cat sat on the mat,none,0,keep,the cat sat on the mat,drop a word (reject),matched single-word twin,-43.045,-43.045,0.0,n/a,,,,,,-5.183,PASS,
INS-03a,INS-03,INS_DUP,implausible,implaus,she quickly quickly finished her lunch,she quickly finished her lunch,ins,1,edit,'quickly quickly' (implausible),'quickly' doubled,doubled adverb,-49.201,-38.493,10.708,pass,quickly,,,,,,PASS,
INS-03b,INS-03,INS_DUP,plausible,plaus,she quickly finished her lunch,she quickly finished her lunch,none,0,keep,she quickly finished her lunch,drop a word (reject),matched single-word twin,-38.493,-38.493,0.0,n/a,,,,,,7.123,PASS,LM prefers the tempting edit even here (+7.12) -- weak control
CTRL-01,CTRL-01,CTRL,control,plaus,The pirate buried the treasure.,The pirate buried the treasure.,none,0,keep,literal,none,clean; rare content word must be kept,-37.287,-37.287,0.0,n/a,,,,,,,PASS,
CTRL-02,CTRL-02,CTRL,control,plaus,The chef cooked the salmon.,The chef cooked the salmon.,none,0,keep,literal,none,clean baseline,-39.388,-39.388,0.0,n/a,,,,,,,PASS,
CTRL-03,CTRL-03,CTRL,control,plaus,The astronomer photographed the comet.,The astronomer photographed the comet.,none,0,keep,literal,none,clean; rare words,-37.875,-37.875,0.0,n/a,,,,,,,PASS,
CTRL-04,CTRL-04,CTRL,control,plaus,The gardener planted the tulips.,The gardener planted the tulips.,none,0,keep,literal,none,clean baseline,-44.245,-44.245,0.0,n/a,,,,,,,PASS,
LADDER-give-1,LADDER-give,LADDER,ladder,implaus_high,The volunteer gave the blanket the children,The volunteer gave the blanket to the children,del_to,1,edit,blanket is the recipient (impossible),blanket given to the children,ladder L1 pure-insert: NP1=blanket (object),-48.312,-46.126,2.186,pass,,to,,,1,,PASS,
LADDER-give-2,LADDER-give,LADDER,ladder,implaus_mid,The volunteer gave the shelter the children,The volunteer gave the shelter to the children,del_to,1,edit,shelter is the recipient (odd),shelter given to the children,ladder L2 pure-insert: NP1=shelter (institution) -- gate decides the grade,-43.791,-43.466,0.325,pass,,to,,,1,,PASS,
LADDER-give-3,LADDER-give,LADDER,ladder,plaus,The volunteer gave the family the children,The volunteer gave the family the children,none,0,keep,family is the recipient (plausible DO),'to' inserted (reject),ladder L3: NP1=family (good recipient) -> no edit,-41.088,-41.088,0.0,n/a,,,,,,,PASS,
LADDER-send-1,LADDER-send,LADDER,ladder,implaus_high,The clerk sent the package the manager,The clerk sent the package to the manager,del_to,1,edit,package is the recipient (impossible),package sent to the manager,ladder L1 pure-insert: NP1=package (object),-42.99,-38.203,4.786,pass,,to,,,1,,PASS,
LADDER-send-2,LADDER-send,LADDER,ladder,implaus_mid,The clerk sent the branch the manager,The clerk sent the branch to the manager,del_to,1,edit,branch is the recipient (odd),branch sent to the manager,ladder L2 pure-insert: NP1=branch (institution) -- gate decides the grade,-45.979,-43.584,2.395,pass,,to,,,1,,PASS,
LADDER-send-3,LADDER-send,LADDER,ladder,plaus,The clerk sent the team the manager,The clerk sent the team the manager,none,0,keep,team is the recipient (plausible DO),'to' inserted (reject),ladder L3: NP1=team (good recipient) -> no edit,-42.367,-42.367,0.0,n/a,,,,,,,PASS,
INS-04a,INS-04,INS_DUP,implausible,implaus,she went to to the store,she went to the store,ins,1,edit,'to to' (implausible),'to' doubled,doubled function word 'to',-39.577,-30.616,8.961,pass,to,,,,,,PASS,
INS-04b,INS-04,INS_DUP,plausible,plaus,she went to the store,she went to the store,none,0,keep,she went to the store,remove 'to' (reject),matched single-word twin,-30.616,-30.616,0.0,n/a,,,,,,-3.759,PASS,
INS-05a,INS-05,INS_DUP,implausible,implaus,he is is very tall,he is very tall,ins,1,edit,'is is' (implausible),'is' doubled,doubled copula 'is',-35.465,-27.661,7.804,pass,is,,,,,,PASS,
INS-05b,INS-05,INS_DUP,plausible,plaus,he is very tall,he is very tall,none,0,keep,he is very tall,remove 'is' (reject),matched single-word twin,-27.661,-27.661,0.0,n/a,,,,,,-2.405,PASS,
INS-06a,INS-06,INS_DUP,implausible,implaus,we saw a a movie,we saw a movie,ins,1,edit,'a a' (implausible),'a' doubled,doubled article 'a',-37.678,-28.767,8.911,pass,a,,,,,,PASS,
INS-06b,INS-06,INS_DUP,plausible,plaus,we saw a movie,we saw a movie,none,0,keep,we saw a movie,remove 'a' (reject),matched single-word twin,-28.767,-28.767,0.0,n/a,,,,,,-2.182,PASS,
INS-07a,INS-07,INS_DUP,implausible,implaus,the book on the the table,the book on the table,ins,1,edit,'the the' (implausible),'the' doubled,doubled article 'the',-39.792,-32.62,7.172,pass,the,,,,,,PASS,
INS-07b,INS-07,INS_DUP,plausible,plaus,the book on the table,the book on the table,none,0,keep,the book on the table,remove 'the' (reject),matched single-word twin,-32.62,-32.62,0.0,n/a,,,,,,3.222,PASS,LM prefers the tempting edit even here (+3.22) -- weak control
INS-08a,INS-08,INS_DUP,implausible,implaus,they walked walked home slowly,they walked home slowly,ins,1,edit,'walked walked' (implausible),'walked' doubled,doubled verb 'walked',-49.998,-37.918,12.08,pass,walked,,,,,,PASS,
INS-08b,INS-08,INS_DUP,plausible,plaus,they walked home slowly,they walked home slowly,none,0,keep,they walked home slowly,remove 'walked' (reject),matched single-word twin,-37.918,-37.918,0.0,n/a,,,,,,2.242,PASS,LM prefers the tempting edit even here (+2.24) -- weak control
INS-09a,INS-09,INS_DUP,implausible,implaus,the very very tall man left,the very tall man left,ins,1,edit,'very very' (implausible),'very' doubled,doubled intensifier 'very',-47.205,-40.881,6.324,pass,very,,,,,,PASS,
INS-09b,INS-09,INS_DUP,plausible,plaus,the very tall man left,the very tall man left,none,0,keep,the very tall man left,remove 'very' (reject),matched single-word twin,-40.881,-40.881,0.0,n/a,,,,,,3.659,PASS,LM prefers the tempting edit even here (+3.66) -- weak control
DEL-to-05a,DEL-to-05,DEL_TO,implausible,implaus,I want go home,I want to go home,del_to,1,edit,'want go' ungrammatical,restore omitted 'to',high-pref jarring omission (widens DEL spread),-23.881,-16.935,6.946,pass,,to,,,1,,PASS,
DEL-to-05b,DEL-to-05,DEL_TO,plausible,plaus,I want to go home,I want to go home,none,0,keep,grammatical,'to' already present (reject),matched grammatical twin,-16.935,-16.935,0.0,n/a,,,,,,,PASS,
DEL-of-01a,DEL-of-01,DEL_OF,implausible,implaus,this is one the best,this is one of the best,del_of,1,edit,'one the best' ungrammatical,restore omitted 'of',high-pref jarring omission (widens DEL spread),-30.045,-24.311,5.733,pass,,of,,,1,,PASS,
DEL-of-01b,DEL-of-01,DEL_OF,plausible,plaus,this is one of the best,this is one of the best,none,0,keep,grammatical,'of' already present (reject),matched grammatical twin,-24.311,-24.311,0.0,n/a,,,,,,,PASS,
DEL-a-01a,DEL-a-01,DEL_A,implausible,implaus,he is good man,he is a good man,del_a,1,edit,'is good man' ungrammatical,restore omitted 'a',high-pref jarring omission (widens DEL spread),-28.146,-25.816,2.33,pass,,a,,,1,,PASS,
DEL-a-01b,DEL-a-01,DEL_A,plausible,plaus,he is a good man,he is a good man,none,0,keep,grammatical,'a' already present (reject),matched grammatical twin,-25.816,-25.816,0.0,n/a,,,,,,,PASS,
DEL-a-02a,DEL-a-02,DEL_A,implausible,implaus,she lives in big house,she lives in a big house,del_a,1,edit,'in big house' ungrammatical,restore omitted 'a',jarring omission (widens DEL spread),-34.67,-34.09,0.58,pass,,a,,,1,,PASS,
DEL-a-02b,DEL-a-02,DEL_A,plausible,plaus,she lives in a big house,she lives in a big house,none,0,keep,grammatical,'a' already present (reject),matched grammatical twin,-34.09,-34.09,0.0,n/a,,,,,,,PASS,
DEL-the-01a,DEL-the-01,DEL_THE,implausible,implaus,we went to store,we went to the store,del_the,1,edit,'to store' ungrammatical,restore omitted 'the',mid-pref omission (widens DEL spread),-30.467,-29.223,1.243,pass,,the,,,1,,PASS,
DEL-the-01b,DEL-the-01,DEL_THE,plausible,plaus,we went to the store,we went to the store,none,0,keep,grammatical,'the' already present (reject),matched grammatical twin,-29.223,-29.223,0.0,n/a,,,,,,,PASS,
INS-to-01a,INS-to-01,INS_TO,implausible,implaus,The mother gave the daughter to the candle,The mother gave the daughter the candle,ins,1,edit,daughter given to the candle (implausible),'to' spurious; daughter receives the candle,Gibson spurious-'to' insertion (delete to); mirror of DELTO-01,-40.989,-37.33,3.659,pass,to,,,,,,PASS,
INS-to-01b,INS-to-01,INS_TO,plausible,plaus,The mother gave the candle to the daughter,The mother gave the candle to the daughter,none,0,keep,candle given to the daughter (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-39.417,-39.417,0.0,n/a,,,,,,-3.339,PASS,
INS-to-02a,INS-to-02,INS_TO,implausible,implaus,The waiter served the customers to the soup,The waiter served the customers the soup,ins,1,edit,customers served to the soup (implausible),'to' spurious; customers receive the soup,spurious-'to' insertion (delete to),-45.383,-43.009,2.374,pass,to,,,,,,PASS,
INS-to-02b,INS-to-02,INS_TO,plausible,plaus,The waiter served the soup to the customers,The waiter served the soup to the customers,none,0,keep,soup served to the customers (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-42.607,-42.607,0.0,n/a,,,,,,-3.446,PASS,
INS-to-03a,INS-to-03,INS_TO,implausible,implaus,The teacher read the children to the story,The teacher read the children the story,ins,1,edit,children read to the story (implausible),'to' spurious; children get the story,spurious-'to' insertion (delete to),-42.834,-41.173,1.661,pass,to,,,,,,PASS,
INS-to-03b,INS-to-03,INS_TO,plausible,plaus,The teacher read the story to the children,The teacher read the story to the children,none,0,keep,story read to the children (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-37.215,-37.215,0.0,n/a,,,,,,-2.825,PASS,
INS-to-04a,INS-to-04,INS_TO,implausible,implaus,The judge awarded the winner to the trophy,The judge awarded the winner the trophy,ins,1,edit,winner awarded to the trophy (implausible),'to' spurious; winner gets the trophy,spurious-'to' insertion (delete to),-41.18,-38.465,2.715,pass,to,,,,,,PASS,
INS-to-04b,INS-to-04,INS_TO,plausible,plaus,The judge awarded the trophy to the winner,The judge awarded the trophy to the winner,none,0,keep,trophy awarded to the winner (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-37.559,-37.559,0.0,n/a,,,,,,-3.876,PASS,
