item_id,family,expected,observed,target,la_map,lap_map,la_ok,lap_ok,la_ok_ci,lap_ok_ci,la_edited,lap_edited,la_del0,lap_del0,la_delany,lap_delany,la_plit,lap_plit,la_logZ,lap_logZ,dlogZ,la_spread,lap_spread
SUBW-06a,SUBW,edit,She gave him a lovely complement on his cooking.,She gave him a lovely compliment on his cooking.,She gave him a lovely compliment on his cooking.,She gave him a lovely compliment on his cooking.,1,1,1,1,1,1,4.403537065499781e-08,2.178220745537476e-07,9.686691661271256e-06,1.762247805435224e-05,0.02428,0.002467,-55.90465430668725,-54.8755616524885,1.0290926541987488,21.527,0.755
SUBW-06b,SUBW,keep,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,1,1,1,1,0,0,6.316673773502936e-06,0.00010422656562522015,5.3702285950540416e-05,0.00031240750436970383,0.896033,0.958285,-47.86747237930069,-47.8928946010548,-0.02542222175410558,0.924,0.707
SUBN-01a,SUBN,edit,Did you recieve the message?,Did you receive the message?,Did you receive the message?,Did you receive the message?,1,1,1,1,1,1,3.076989237126576e-08,8.241120000692207e-08,0.00013360320815374618,0.001963389191786465,0.0,0.097928,-32.32428829978478,-31.561713499405812,0.762574800378971,15.759,0.173
SUBN-01b,SUBN,keep,Did you receive the message?,Did you receive the message?,Did you receive the message?,Did you receive the message?,1,1,1,1,0,0,6.794929320402952e-08,7.290642614198267e-08,0.007459777563361024,0.00029552660567900115,0.978087,0.973318,-27.684426583094844,-27.21638610773123,0.46804047536361537,0.973,0.363
SUBN-02a,SUBN,edit,The boy did an experimemt today.,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,1,1,1,1,1,1,9.202276097705355e-06,7.000455294548576e-06,0.00014645900976076594,7.843352342428343e-05,0.0,0.0,-50.794253619420225,-50.7476704052826,0.04658321413762678,3.012,2.076
SUBN-02b,SUBN,keep,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,1,1,1,1,0,0,7.629842176797968e-06,5.866879730198816e-06,0.00011508135873342782,5.646921496884719e-05,0.908416,0.77775,-45.41822165443978,-45.74107309451574,-0.3228514400759579,1.489,0.234
SUBN-03a,SUBN,edit,She definately agreed with the plan.,She definitely agreed with the plan.,She definitely agreed with the plan.,She definitely agreed with the plan.,1,1,1,1,1,1,1.5805958108108097e-07,1.4720491151024388e-07,9.21646366986273e-05,0.006870473683098808,0.107106,0.163448,-41.81475277985063,-42.75405075514918,-0.9392979752985511,17.128,1.46
SUBN-03b,SUBN,keep,She definitely agreed with the plan.,She definitely agreed with the plan.,She definitely agreed with the plan.,She definitely agreed with the plan.,1,1,1,1,0,0,7.604726234137633e-08,1.3783493537974236e-07,4.188604404802903e-06,7.654101602102106e-06,0.993366,0.982718,-38.21674071251601,-38.49559882185697,-0.2788581093409661,1.361,0.538
SUBN-04a,SUBN,edit,The mountian was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,1,1,1,1,1,1,8.63476327624557e-05,5.300788331977689e-06,8.63476327624557e-05,3.653945955967894e-05,0.0,0.0,-40.29126557673419,-41.33632554691851,-1.0450599701843188,19.375,0.702
SUBN-04b,SUBN,keep,The mountain was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,1,1,1,1,0,0,4.210072341849096e-06,5.980487002180107e-06,7.117011562246784e-05,5.324107156213381e-05,0.999989,1.0,-36.79978483443973,-36.76147450141028,0.038310333029450305,0.691,0.578
SUBN-05a,SUBN,edit,They reciesofted the parcel yesterday.,They received the parcel yesterday.,They’ve the best parcel yesterday.,They're going the parcel yesterday.,0,0,0,0,1,1,0.003825975065628808,2.507970712807002e-06,1.1814199661594236,0.7670961934320056,0.0,0.0,-79.0609714538345,-72.00701979176839,7.053951662066112,4.117,2.361
SUBN-06a,SUBN,edit,The chef seasoned the suop.,The chef seasoned the soup.,The chef seasoned the author.,The chef seasoned the soup.,0,1,0,1,1,1,0.13323896255898834,5.3877040717088075e-06,0.13323896255898834,2.8501658626467554e-05,0.0,0.0,-60.941783217408044,-53.62710717923147,7.314676038176572,7.229,0.354
SUBN-06b,SUBN,keep,The chef seasoned the soup.,The chef seasoned the soup.,The chef seasoned the soup.,The chef seasoned the soup.,1,1,1,1,0,0,9.099709973357402e-05,5.530193843370222e-06,9.099709973357402e-05,1.0373795213988798e-05,0.978216,0.559647,-49.1225761821929,-49.28757627475723,-0.1650000925643269,15.284,0.674
DELTO-01a,DEL_TO,edit,The mother gave the candle a daughter.,The mother gave the candle to a daughter.,The mother gave the candle a daughter.,The mother gave the candle a daughter.,0,0,0,0,0,0,8.971990343825277e-06,5.49781881184055e-06,0.034517603014234836,0.00010923606762469848,0.965475,0.994585,-51.385186893454446,-51.87081156873053,-0.4856246752760853,12.665,1.129
DELTO-01b,DEL_TO,keep,The mother gave the daughter a candle.,The mother gave the daughter a candle.,The mother gave the daughter a candle.,The mother gave the daughter a candle.,1,1,1,1,0,0,4.1948591942932575e-06,4.680481428605712e-06,5.0986005639748206e-05,0.005342595237907347,0.999978,0.954276,-42.809974182753145,-43.46227040087814,-0.6522962181249952,0.998,0.686
DELTO-02a,DEL_TO,edit,The waiter served the soup the customers.,The waiter served the soup to the customers.,The waiter served the soup the customers.,The waiter served the soup the customers.,0,0,0,0,0,0,0.00037420238621898195,4.2073219647343284e-06,0.32919485572691887,0.012972218046140908,0.668724,0.669251,-57.40208519444267,-56.67235986572769,0.7297253287149772,8.242,0.643
DELTO-02b,DEL_TO,keep,The waiter served the customers the soup.,The waiter served the customers the soup.,The waiter served the customers the soup.,The waiter served the customers the soup.,1,1,1,1,0,0,3.8963366091441e-05,5.420317765410376e-06,3.8963366091441e-05,0.006647497830664417,0.563711,0.845973,-50.26871693323843,-51.1964229594253,-0.9277060261868684,21.273,1.465
DELTO-03a,DEL_TO,edit,The teacher read the story the children.,The teacher read the story to the children.,The teacher read the story the children.,The teacher read the story of the children.,0,0,0,0,0,1,2.0157276296384716e-06,5.236175646999665e-06,0.009203153917697205,0.45387339544718175,0.806992,0.440749,-50.945840316055204,-50.96989373281432,-0.02405341675911643,2.388,1.87
DELTO-03b,DEL_TO,keep,The teacher read the children the story.,The teacher read the children the story.,The teacher read the children the story.,The teacher read the children the story.,1,1,1,1,0,0,0.00014625093724235917,4.382931543515324e-06,0.0010029511837288312,0.013875632491146468,0.980799,0.930087,-50.05210072888525,-49.40145784379466,0.6506428850905905,8.664,1.426
DELTO-04a,DEL_TO,edit,The judge awarded the trophy the winner.,The judge awarded the trophy to the winner.,The Judge awarded the trophy to the winner.,The judge awarded the trophy the winner.,0,0,1,0,1,0,5.008073357329602e-06,1.0257453825695936e-05,0.9113415297824771,0.5997257879167516,0.088429,0.400168,-48.987158699717966,-48.860853181429654,0.12630551828831216,1.647,1.656
DELTO-04b,DEL_TO,keep,The judge awarded the winner the trophy.,The judge awarded the winner the trophy.,The Judge awarded the winner the trophy.,The Judge awarded the winner the trophy.,0,0,1,1,1,1,2.906252515682794e-06,6.69976265283163e-05,3.7919355156375216e-05,0.004363875403024745,0.324034,0.324465,-45.73915702640976,-45.49360124922351,0.24555577718624733,1.017,0.394
DELFOR-01a,DEL_FOR,edit,The tailor sewed the dress the bride.,The tailor sewed the dress for the bride.,The tailor was sewed the dress the bride.,The tailor sewed the dress and the bride.,0,0,0,0,1,1,0.00010331508221282454,3.3282757456891595e-06,1.4761493558812004,0.6159033448770738,0.0,0.264669,-71.60818150034767,-62.911117481741016,8.697064018606653,8.526,3.874
DELFOR-01b,DEL_FOR,keep,The tailor sewed the bride the dress.,The tailor sewed the bride the dress.,The tailor seed the bride the dress.,The tailor sewed the bride the dress.,0,1,0,1,1,0,9.07352990817655e-05,3.4855649749760076e-06,0.002080876152533993,0.018664256823741242,2.5e-05,0.934025,-64.17225658027657,-64.50650627775612,-0.33424969747954947,16.165,1.586
DELFOR-02a,DEL_FOR,edit,The father cooked the dinner the family.,The father cooked the dinner for the family.,The father cooked the dinner the family.,The father cooked the dinner. The Family.,0,0,0,0,0,1,2.373005460552661e-06,2.8451986197990753e-06,0.032260658606076575,0.5570754632859074,0.951608,0.275593,-52.698595306123934,-51.92816811004689,0.7704271960770441,18.487,1.634
DELFOR-02b,DEL_FOR,keep,The father cooked the family the dinner.,The father cooked the family the dinner.,The father cooked the family dinner.,The father cooked the family the dinner.,0,1,0,1,1,0,5.475504881581215e-07,3.2437985693323215e-06,3.2367009281036724e-06,0.00015440261070847854,0.098542,0.699018,-49.50235642794917,-51.06306764590096,-1.5607112179517912,22.641,0.544
DELFOR-03a,DEL_FOR,edit,The baker iced the cake the children.,The baker iced the cake for the children.,The Bakerite is the cake of the children.,The baker iced the case the children.,0,0,0,0,1,1,2.079762129028915e-06,1.4511227216112894e-05,0.7353329102761206,0.4006231601404689,0.0,0.033973,-68.90487234332898,-62.89772995044084,6.0071423928881345,10.153,5.542
DELFOR-03b,DEL_FOR,keep,The baker iced the children the cake.,The baker iced the children the cake.,The Bakerite the children the cake.,The baker iced the children the cake.,0,1,0,1,1,0,1.6023414486096931e-06,2.1026754805279283e-06,0.0002784749070955893,0.09245717283882637,0.0,0.884309,-68.45800455743704,-61.3934395812555,7.064564976181536,12.472,5.378
DELFROM-01a,DEL_FROM,edit,The businessman benefited the tax law.,The businessman benefited from the tax law.,The businessman has benefited from the tax law.,The businessman benefited from the tax law.,0,1,0,1,1,1,5.054173990379737e-05,3.092849369346744e-06,0.9999923103159757,0.595810008588341,1.8e-05,0.287936,-56.446525695188456,-54.224555958083094,2.2219697371053613,11.032,2.648
DELFROM-01b,DEL_FROM,keep,The businessman benefited from the tax law.,The businessman benefited from the tax law.,The businessman has benefited from the tax law.,The businessman benefited from the tax law.,0,1,0,1,1,0,0.9090546686437355,3.7301099750140412e-06,0.9090546686437355,0.02269226448300872,0.314385,0.548617,-57.64070153933209,-48.560508813192875,9.080192726139217,0.475,3.007
DELFROM-02a,DEL_FROM,edit,The patient slowly recovered the illness.,The patient slowly recovered from the illness.,The patient slowly recovered the illness.,The patient slowly recovered the illness.,0,0,0,0,0,0,1.4440166848489824e-06,4.670528200439124e-06,0.10258381370720096,9.793921235404186e-05,0.897417,1.0,-46.075678584263855,-46.135032531513254,-0.059353947249398686,10.378,0.27
DELFROM-02b,DEL_FROM,keep,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,1,1,1,1,0,0,1.0588262059337554e-06,5.0559647083929e-06,0.052907090929205064,9.960634841646569e-05,0.947093,1.0,-42.603355565536056,-41.59724624997969,1.0061093155563654,8.762,0.354
INS-01a,INS_DUP,edit,The boy handed handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed handed the pencil to the girl.,The boy handed handed the pencil to the girl.,0,0,0,0,0,0,1.9859314818443403e-06,8.114616091718832e-06,0.0001585001142417213,0.19202591219417686,1.0,0.797222,-57.17123138453694,-57.37845152495133,-0.20722014041439252,1.517,3.214
INS-01b,INS_DUP,keep,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,1,1,1,1,0,0,8.037689027792848e-06,4.57949085545218e-06,0.0008841242777337997,0.006589251093342762,0.984615,0.978076,-48.22251682657883,-47.71450064510502,0.5080161814738133,6.421,0.828
INS-02a,INS_DUP,edit,The cat sat on on the mat.,The cat sat on the mat.,The cat sat on on the mat.,The cat sat on on the mat.,0,0,0,0,0,0,3.2647765202123766e-06,3.049509031106584e-06,0.00042921283607325034,0.19067532506509124,0.402858,0.67674,-52.372568403477764,-51.60703562803615,0.7655327754416135,8.247,2.69
INS-02b,INS_DUP,keep,The cat sat on the mat.,The cat sat on the mat.,The cat sat on the mat.,The cat sat on the mat.,1,1,1,1,0,0,7.432981146867746e-07,2.6223321443192154e-06,0.004878789468046825,0.008532887065437143,0.890205,0.969658,-42.25010067452244,-41.30755683030105,0.9425438442213903,5.874,1.693
INS-03a,INS_DUP,edit,She quickly quickly finished her lunch.,She quickly finished her lunch.,She quickly quickly finished her lunch.,She quickly quickly finished her lunch.,0,0,0,0,0,0,2.3327755325659945e-07,1.245548067334229e-07,0.15999384268415143,0.002236939738158328,0.837521,0.993463,-50.466756386002274,-50.457448467765914,0.00930791823635957,0.791,1.152
INS-03b,INS_DUP,keep,She quickly finished her lunch.,She quickly finished her lunch.,She quickly finished her lunch.,She quickly finished her lunch.,1,1,1,1,0,0,2.0128453084826208e-07,1.2339369553750157e-07,0.004662679666301894,0.00010153069961007473,0.995349,0.994753,-39.89581076900018,-40.19328076853115,-0.29746999953097486,0.322,0.511
CTRL-01,CTRL,keep,The pirate buried the treasure.,The pirate buried the treasure.,The pirate buried the treasure.,The pirate buried the treasure.,1,1,1,1,0,0,1.6982045359147822e-06,3.5611489101150002e-06,1.8017156023730892e-05,5.2381747069106215e-05,0.99939,0.980025,-43.732591642307504,-43.01378395880535,0.7188076835021562,19.078,0.497
CTRL-02,CTRL,keep,The chef cooked the salmon.,The chef cooked the salmon.,The chef cooked the salmon.,The chef cooked the salmon.,1,1,1,1,0,0,0.0004447187686267977,5.104072707958774e-06,0.0004447187686267977,0.000117618759398363,0.949899,0.965935,-48.113751737382024,-46.50256174502524,1.6111899923567847,12.509,1.66
CTRL-03,CTRL,keep,The astronomer photographed the comet.,The astronomer photographed the comet.,The astronomer photographed the comet.,The astronomer photographed the comet.,1,1,1,1,0,0,3.3565723359876814e-05,6.141025673317391e-05,0.0036484209664333074,7.709558529620235e-05,0.996287,0.977922,-42.145300032297726,-43.07218753304862,-0.9268875007508939,23.283,0.294
CTRL-04,CTRL,keep,The gardener planted the tulips.,The gardener planted the tulips.,The gardener planted the tulips.,The gardener planted the tulips.,1,1,1,1,0,0,1.9800713904512561,3.715766528671582e-06,1.9800713904512561,0.04044698392162338,0.856445,0.854496,-60.73738263176796,-51.658505866580164,9.078876765187793,7.376,0.95
LADDER-give-1,LADDER,edit,The volunteer gave the blanket the children.,The volunteer gave the blanket to the children.,The volunteer gave the blanket the children.,The volunteer gave the blanket the children.,0,0,0,0,0,0,3.188685689706688e-05,4.095964909821972e-06,0.0021742878324449346,0.004608357979219163,0.997808,0.749824,-58.454488082744135,-58.559574772240346,-0.10508668949621125,11.524,0.606
LADDER-give-2,LADDER,edit,The volunteer gave the shelter the children.,The volunteer gave the shelter to the children.,The volunteer gave the shelter the children.,The volunteers gave the shelter and The children.,0,0,0,0,0,1,1.6446246157082656e-06,7.232549786589906e-06,8.896151647396252e-05,0.6155221890418899,0.958669,0.271533,-55.43046611843699,-53.523483490805596,1.9069826276313933,14.515,0.564
LADDER-give-3,LADDER,keep,The volunteer gave the family the children.,The volunteer gave the family the children.,The volunteer gave the family the children.,The volunteer gave the family the children.,1,1,1,1,0,0,2.5900642549991432e-06,4.212029701252252e-06,0.01179157983545573,3.793739987612125e-05,0.631726,0.703404,-50.398585991109805,-51.03224483784493,-0.6336588467351234,2.405,0.68
LADDER-send-1,LADDER,edit,The clerk sent the package the manager.,The clerk sent the package to the manager.,The clerk sent the package to the Manager.,The clerk sent the package to the manager.,0,1,1,1,1,1,2.512967653457934e-06,3.5794909204909076e-06,0.9100016933323508,0.9475583752492837,0.0,0.046404,-52.285097083415934,-51.46425132251837,0.8208457608975621,4.133,2.903
LADDER-send-2,LADDER,edit,The clerk sent the branch the manager.,The clerk sent the branch to the manager.,The clerk sent the branch to the manager.,The Clerk sent the branch the manager.,1,0,1,0,1,1,1.1807320238688449e-06,1.0705944702306183e-06,0.6012400717833465,0.061749342234875236,0.0,0.066989,-57.952513947986006,-54.232698719413634,3.7198152285723722,0.632,4.033
LADDER-send-3,LADDER,keep,The clerk sent the team the manager.,The clerk sent the team the manager.,The clerk sent the team the manager.,The clerk sent the team the manager.,1,1,1,1,0,0,8.155689005467226e-07,2.834867860587543e-06,0.025033250214912102,0.05233402432062202,0.91344,0.877121,-52.314523487575585,-50.91884175118294,1.3956817363926461,3.579,2.683
INS-04a,INS_DUP,edit,She went to to the store.,She went to the store.,She went to to the store.,She went to to the store.,0,0,0,0,0,0,8.936703553994873e-08,9.45878130500059e-08,0.288637616404609,0.00016534216347954215,0.633404,0.703068,-41.87943353393886,-41.65559952899798,0.22383400494087624,0.377,1.709
INS-04b,INS_DUP,keep,She went to the store.,She went to the store.,She went to the store.,She went to the store.,1,1,1,1,0,0,5.6250346627732625e-08,1.7706153758979192e-07,8.43935024687643e-05,0.006522225643081105,0.999966,0.959518,-32.923083518785575,-32.77521547774986,0.14786804103571427,2.146,0.969
INS-05a,INS_DUP,edit,He is is very tall.,He is very tall.,He is is very tall.,He is is very tall.,0,0,0,0,0,0,4.163496320830235e-07,5.901475259158528e-07,4.0811625180174556e-05,0.00015502690334272875,0.827606,0.999985,-37.98086390386036,-38.13787109063875,-0.15700718677838665,1.575,1.502
INS-05b,INS_DUP,keep,He is very tall.,He is very tall.,He is very tall.,He is very tall.,1,1,1,1,0,0,4.4844569685790544e-07,3.635149032058078e-07,5.649056714791299e-05,0.00019022925462701843,0.999991,0.975496,-29.822237984830306,-30.198661974259743,-0.376423989429437,0.892,2.024
INS-06a,INS_DUP,edit,We saw a a movie.,We saw a movie.,We saw a a movie.,We saw a a movie.,0,0,0,0,0,0,1.7234712836140835e-07,6.18080383500466e-07,3.814131621461447e-05,0.012334371583779717,0.838353,0.737763,-41.84069871800722,-42.208186968984094,-0.36748825097687643,0.779,6.236
INS-06b,INS_DUP,keep,We saw a movie.,We saw a movie.,We saw a movie.,We saw a movie.,1,1,1,1,0,0,3.7831899630796485e-07,3.0083490734688793e-07,0.00010874327733540929,9.91816591756551e-05,0.764962,0.962366,-33.05524239624754,-32.910790715028995,0.14445168121854834,0.943,0.583
INS-07a,INS_DUP,edit,The book on the the table.,The book on the table.,The Book on the Table.,The Book on the Table.,0,0,1,1,1,1,2.7999274664013487e-06,3.2024347996034332e-06,1.5165714777513404e-05,8.256217000634079e-05,0.032109,0.099952,-36.908003392981506,-37.499999631051665,-0.5919962380701591,3.795,2.85
INS-07b,INS_DUP,keep,The book on the table.,The book on the table.,The Book on the Table.,The Book on the Table.,0,0,1,1,1,1,4.1093838877824065e-06,4.270677235497637e-06,0.00014014399347715324,2.989798468468333e-05,0.198735,0.251912,-31.338224137388046,-31.389041991381294,-0.05081785399324801,0.684,0.317
INS-08a,INS_DUP,edit,They walked walked home slowly.,They walked home slowly.,They walked walked home slowly.,They walked walked home slowly.,0,0,0,0,0,0,2.5975667435757568e-06,0.003591875637992907,1.933191055057746e-05,0.00788595828133228,0.627843,0.996057,-52.048136075929804,-50.51377442098893,1.5343616549408736,13.1,4.45
INS-08b,INS_DUP,keep,They walked home slowly.,They walked home slowly.,They walked home slowly.,They walked home slowly.,1,1,1,1,0,0,2.832260921464614e-07,0.002864873652128516,4.0709319606400975e-05,0.002864873652128516,1.0,0.971353,-37.59698262229728,-37.79693866392915,-0.19995604163186442,3.264,1.184
INS-09a,INS_DUP,edit,The very very tall man left.,The very tall man left.,The very very tall man left.,The very very tall man left.,0,0,0,0,0,0,4.1842190033812784e-06,4.568692236622918e-06,0.1813150047573309,0.002085074515804082,0.818658,0.993759,-49.13867182762493,-47.117359390742244,2.0213124368826882,2.303,1.117
INS-09b,INS_DUP,keep,The very tall man left.,The very tall man left.,The very tall man left.,The very tall man left.,1,1,1,1,0,0,0.012384232629088542,6.933632914753975e-06,0.012384232629088542,0.026574654081046686,0.981937,0.965233,-40.07000960371736,-39.858862134000155,0.21114746971720422,2.275,1.704
DEL-to-05a,DEL_TO,edit,I want go home.,I want to go home.,I want to go home.,I want to go home.,1,1,1,1,1,1,1.6612196980038989e-06,1.9852651928725437e-06,0.985797996191609,1.0022840432337792,0.0,0.0,-29.22573940638965,-29.429912459863722,-0.20417305347407222,0.463,1.005
DEL-to-05b,DEL_TO,keep,I want to go home.,I want to go home.,I want to go home.,I want to go home.,1,1,1,1,0,0,0.0005517707234620104,1.8236325417672003e-06,0.0016315352670235462,0.006204983019352643,0.99687,0.991142,-24.81857326349039,-24.527372935740267,0.29120032775012206,0.724,0.59
DEL-of-01a,DEL_OF,edit,This is one the best.,This is one of the best.,This is one of the best.,This is one of the best.,1,1,1,1,1,1,1.4781793645864032e-06,8.479777852878818e-07,0.8019385299958415,0.6499672130973786,0.197818,0.347733,-30.008171676973678,-30.858012656876856,-0.8498409799031776,3.043,1.419
DEL-of-01b,DEL_OF,keep,This is one of the best.,This is one of the best.,This is one of the best.,This is one of the best.,1,1,1,1,0,0,9.735400876482963e-07,0.00048738541257609884,4.4043681929851534e-05,0.00048738541257609884,1.0,0.99467,-25.939424149229733,-26.07386697314759,-0.13444282391785833,0.872,1.001
DEL-a-01a,DEL_A,edit,He is good man.,He is a good man.,He is good man.,He is good man.,0,0,0,0,0,0,2.63715253410235e-07,3.738315183198173e-07,7.5299665244264676e-06,0.22598276253856053,0.936908,0.716648,-28.13925048465168,-27.846686378606474,0.2925641060452051,1.615,1.329
DEL-a-01b,DEL_A,keep,He is a good man.,He is a good man.,He is a good man.,He is a good man.,1,1,1,1,0,0,5.317921850000889e-07,4.47032163494235e-07,1.1028502427227603e-05,9.363527267843207e-06,0.971528,0.940796,-25.446691281279854,-25.50012261771055,-0.05343133643069464,0.632,0.49
DEL-a-02a,DEL_A,edit,She lives in big house.,She lives in a big house.,She lives in big house.,She lives in big house.,0,0,0,0,0,0,1.7714308463473023e-07,1.0341226665253061e-07,0.020512337843571343,0.03463790384338361,0.979489,0.951601,-33.43260379104494,-33.60781660594147,-0.17521281489653262,1.413,0.368
DEL-a-02b,DEL_A,keep,She lives in a big house.,She lives in a big house.,She lives in a big house.,She lives in a big house.,1,1,1,1,0,0,9.964410821016692e-08,1.6394013623014874e-07,0.00345196583431567,3.936238840242463e-05,0.996548,1.0,-33.61091658722376,-33.438757093670525,0.172159493553238,1.343,0.803
DEL-the-01a,DEL_THE,edit,We went to store.,We went to the store.,We went to store.,We went to store.,0,0,0,0,0,0,3.911458844911196e-07,2.4295031931691614e-07,0.003799492267159667,0.09476680231438192,0.922438,0.545294,-34.09523022930954,-34.14850106540491,-0.05327083609536487,0.767,1.218
DEL-the-01b,DEL_THE,keep,We went to the store.,We went to the store.,We went to the store.,We went to the store.,1,1,1,1,0,0,3.285189287554253e-07,5.181543735085369e-07,0.00013064385181344799,7.704736061685575e-05,0.991396,0.98607,-31.503371474764652,-31.799453534688634,-0.2960820599239824,0.546,1.598
INS-to-01a,INS_TO,edit,The mother gave the daughter to the candle.,The mother gave the daughter the candle.,The mother gave the daughter to the candle.,The mother gave the daughter to the candle.,0,0,0,0,0,0,1.4270070002863916e-06,0.000596927552431527,0.004134403099530136,0.000596927552431527,0.809891,0.995998,-51.26822468868719,-49.25524056893191,2.0129841197552807,5.766,0.367
INS-to-01b,INS_TO,keep,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,1,1,1,1,0,0,3.2407338602808043e-06,3.994004084266855e-06,0.00010185574045308976,6.103725609931735e-05,0.999976,0.990758,-47.60109897337038,-48.17251198413097,-0.5714130107605939,1.575,0.697
INS-to-02a,INS_TO,edit,The waiter served the customers to the soup.,The waiter served the customers the soup.,The waiter served the customers to the soup.,The waiter served the customers to the soup.,0,0,0,0,0,0,6.813393338099132e-05,5.222987575300187e-06,6.813393338099132e-05,0.0045473143714709644,0.999965,0.976363,-53.933836340356635,-53.24282923491961,0.6910071054370235,11.102,0.486
INS-to-02b,INS_TO,keep,The waiter served the soup to the customers.,The waiter served the soup to the customers.,The waiter served the soup to the customers.,The waiter served the soup to the customers.,1,1,1,1,0,0,2.8494217319259642e-05,4.5446293788341506e-06,2.8494217319259642e-05,8.961879918168151e-05,0.942814,0.959883,-49.63925469217453,-50.19235207602561,-0.5530973838510747,30.358,0.198
