item_id,family,condition,expected,observed,intended,map,p_map,p_intended,p_observed,matches,logZ
SUBW-06b,SUBW,plausible,keep,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,0.948,0.948,0.948,intended,-57.86
SUBN-01a,SUBN,implausible,edit,Did you recieve the message?,Did you receive the message?,Did you ever receive the message?,0.938,0,0,other,-41.68
SUBN-01b,SUBN,plausible,keep,Did you receive the message?,Did you receive the message?,Did you receive the message?,0.933,0.992,0.992,intended,-27.41
SUBN-02a,SUBN,implausible,edit,The boy did an experimemt today.,The boy did an experiment today.,The boy did an experiment today.,0.301,0.391,0,intended,-59.17
SUBN-02b,SUBN,plausible,keep,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,0.319,0.589,0.589,intended,-55.43
SUBN-03a,SUBN,implausible,edit,She definately agreed with the plan.,She definitely agreed with the plan.,She’s definitely agreed with the plan.,0.44,0,0,other,-54.63
SUBN-03b,SUBN,plausible,keep,She definitely agreed with the plan.,She definitely agreed with the plan.,She’s definitely agreed with the plan.,0.54,0,0,other,-50.72
SUBN-04a,SUBN,implausible,edit,The mountian was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,0.917,1.0,0,intended,-51.56
SUBN-04b,SUBN,plausible,keep,The mountain was covered in snow.,The mountain was covered in snow.,In the mountain was covered in snow.,0.938,0.059,0.059,other,-44.81
SUBN-05a,SUBN,implausible,edit,They reciesofted the parcel yesterday.,They received the parcel yesterday.,The purpose of the parcel yesterday.,0.98,0,0,other,-71.28
SUBN-06a,SUBN,implausible,edit,The chef seasoned the suop.,The chef seasoned the soup.,The chef seasoned the soup.,0.586,0.677,0,intended,-62.02
SUBN-06b,SUBN,plausible,keep,The chef seasoned the soup.,The chef seasoned the soup.,The chef seasoned the soup.,0.751,0.922,0.922,intended,-57.91
DELTO-01a,DEL_TO,implausible,edit,The mother gave the candle a daughter.,The mother gave the candle to a daughter.,The mother gave the candle a daughter.,0.908,0,0.95,observed,-60.71
DELTO-01b,DEL_TO,plausible,keep,The mother gave the daughter a candle.,The mother gave the daughter a candle.,The mother gave the daughter a candle.,1.0,1.0,1.0,intended,-42.4
DELTO-02a,DEL_TO,implausible,edit,The waiter served the soup the customers.,The waiter served the soup to the customers.,The waiter served the soup the customers.,0.799,0,0.825,observed,-65.02
DELTO-02b,DEL_TO,plausible,keep,The waiter served the customers the soup.,The waiter served the customers the soup.,The waiter served the customers the soup.,0.652,0.699,0.699,intended,-59.94
DELTO-03a,DEL_TO,implausible,edit,The teacher read the story the children.,The teacher read the story to the children.,The teacher read the story the children.,0.621,0,0.977,observed,-60.58
DELTO-03b,DEL_TO,plausible,keep,The teacher read the children the story.,The teacher read the children the story.,The teacher read the children the story.,0.762,0.828,0.828,intended,-58.39
DELTO-04a,DEL_TO,implausible,edit,The judge awarded the trophy the winner.,The judge awarded the trophy to the winner.,The judge awarded the trophy to the winner.,0.977,1.0,0,intended,-49.62
DELTO-04b,DEL_TO,plausible,keep,The judge awarded the winner the trophy.,The judge awarded the winner the trophy.,The Judge awarded the winner the trophy.,0.672,0.993,0.993,intended,-55.71
DELFOR-01a,DEL_FOR,implausible,edit,The tailor sewed the dress the bride.,The tailor sewed the dress for the bride.,The tailor sewed the dress the bride.,0.886,0,0.896,observed,-73.09
DELFOR-01b,DEL_FOR,plausible,keep,The tailor sewed the bride the dress.,The tailor sewed the bride the dress.,The tailor sewed the bride the dress.,0.438,0.574,0.574,intended,-73.04
DELFOR-02a,DEL_FOR,implausible,edit,The father cooked the dinner the family.,The father cooked the dinner for the family.,The father cooked the dinner the family.,0.679,0,0.967,observed,-61.38
DELFOR-02b,DEL_FOR,plausible,keep,The father cooked the family the dinner.,The father cooked the family the dinner.,The father cooked the family the dinner.,0.765,0.881,0.881,intended,-60.29
DELFOR-03a,DEL_FOR,implausible,edit,The baker iced the cake the children.,The baker iced the cake for the children.,The baker iced the cake the children.,0.964,0,0.973,observed,-68.59
DELFOR-03b,DEL_FOR,plausible,keep,The baker iced the children the cake.,The baker iced the children the cake.,The baker iced the children the cake.,0.984,0.987,0.987,intended,-67.07
DELFROM-01a,DEL_FROM,implausible,edit,The businessman benefited the tax law.,The businessman benefited from the tax law.,The businessman benefited the tax law.,0.648,0,0.848,observed,-65.14
DELFROM-01b,DEL_FROM,plausible,keep,The businessman benefited from the tax law.,The businessman benefited from the tax law.,The businessman benefited from the tax law.,0.602,0.908,0.908,intended,-57.46
DELFROM-02a,DEL_FROM,implausible,edit,The patient slowly recovered the illness.,The patient slowly recovered from the illness.,The patient slowly recovered the illness.,0.646,0,0.653,observed,-58.15
DELFROM-02b,DEL_FROM,plausible,keep,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,0.52,0.877,0.877,intended,-53.91
INS-01a,INS_DUP,implausible,edit,The boy handed handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed handed the pencil to the girl.,0.504,0,0.785,observed,-66.66
INS-01b,INS_DUP,plausible,keep,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,0.96,0.998,0.998,intended,-56.77
INS-02a,INS_DUP,implausible,edit,The cat sat on on the mat.,The cat sat on the mat.,The cat at the end or on the mat.,0.614,0,0.151,other,-58.66
INS-02b,INS_DUP,plausible,keep,The cat sat on the mat.,The cat sat on the mat.,The cat sat on the mat.,0.614,0.846,0.846,intended,-51.22
INS-03a,INS_DUP,implausible,edit,She quickly quickly finished her lunch.,She quickly finished her lunch.,She has a quickly quickly finished her lunch.,0.491,0,0,other,-66.77
INS-03b,INS_DUP,plausible,keep,She quickly finished her lunch.,She quickly finished her lunch.,She's quickly finished her lunch.,0.965,0.008,0.008,other,-47.63
CTRL-01,CTRL,control,keep,The pirate buried the treasure.,The pirate buried the treasure.,The pirate buried the treasure.,0.978,0.98,0.98,intended,-51.81
CTRL-02,CTRL,control,keep,The chef cooked the salmon.,The chef cooked the salmon.,The chef cooked the salmon.,0.866,0.965,0.965,intended,-55.35
CTRL-03,CTRL,control,keep,The astronomer photographed the comet.,The astronomer photographed the comet.,The astronomer photographed the comet.,0.779,0.793,0.793,intended,-52.84
CTRL-04,CTRL,control,keep,The gardener planted the tulips.,The gardener planted the tulips.,The gardener planted the tulips.,0.954,0.959,0.959,intended,-60.46
LADDER-give-1,LADDER,ladder,edit,The volunteer gave the blanket the children.,The volunteer gave the blanket to the children.,The volunteer gave the blanket permission for the children.,0.459,0,0,other,-61.35
LADDER-give-2,LADDER,ladder,edit,The volunteer gave the shelter the children.,The volunteer gave the shelter to the children.,The volunteer gave the shelter the children.,0.998,0,0.998,observed,-53.93
LADDER-give-3,LADDER,ladder,keep,The volunteer gave the family the children.,The volunteer gave the family the children.,The first volunteer gave the family the children.,0.961,0.039,0.039,other,-57.12
LADDER-send-1,LADDER,ladder,edit,The clerk sent the package the manager.,The clerk sent the package to the manager.,The clerk sent the package to the manager.,0.871,0.953,0,intended,-51.92
LADDER-send-2,LADDER,ladder,edit,The clerk sent the branch the manager.,The clerk sent the branch to the manager.,The clerk sent the branch the manager.,0.579,0,0.954,observed,-64.59
LADDER-send-3,LADDER,ladder,keep,The clerk sent the team the manager.,The clerk sent the team the manager.,The clerk sent the team the manager.,0.815,0.958,0.958,intended,-61.49
INS-04a,INS_DUP,implausible,edit,She went to to the store.,She went to the store.,She went to to the store.,1.0,0,1.0,observed,-41.1
INS-04b,INS_DUP,plausible,keep,She went to the store.,She went to the store.,She went to the store.,0.996,1.0,1.0,intended,-33.6
INS-05a,INS_DUP,implausible,edit,He is is very tall.,He is very tall.,He is is very tall.,0.996,0,0.996,observed,-36.92
INS-05b,INS_DUP,plausible,keep,He is very tall.,He is very tall.,He is very tall.,1.0,1.0,1.0,intended,-29.45
INS-06a,INS_DUP,implausible,edit,We saw a a movie.,We saw a movie.,I saw a a movie.,0.72,0,0.28,other,-40.98
INS-06b,INS_DUP,plausible,keep,We saw a movie.,We saw a movie.,We saw a movie.,0.548,0.548,0.548,intended,-33.39
INS-07a,INS_DUP,implausible,edit,The book on the the table.,The book on the table.,The book on the the table.,0.687,0,1.0,observed,-37.57
INS-07b,INS_DUP,plausible,keep,The book on the table.,The book on the table.,The Book on the Table.,0.858,0.858,0.858,intended,-32.88
INS-08a,INS_DUP,implausible,edit,They walked walked home slowly.,They walked home slowly.,They walked in their walked home slowly.,0.956,0,0,other,-57.8
INS-08b,INS_DUP,plausible,keep,They walked home slowly.,They walked home slowly.,They walked home slowly.,1.0,1.0,1.0,intended,-36.43
INS-09a,INS_DUP,implausible,edit,The very very tall man left.,The very tall man left.,The very very tall man left.,0.996,0,1.0,observed,-45.97
INS-09b,INS_DUP,plausible,keep,The very tall man left.,The very tall man left.,The very tall man left.,0.993,0.993,0.993,intended,-41.69
DEL-to-05a,DEL_TO,implausible,edit,I want go home.,I want to go home.,I want to go home.,0.953,0.977,0,intended,-29.43
DEL-to-05b,DEL_TO,plausible,keep,I want to go home.,I want to go home.,I want to go home.,1.0,1.0,1.0,intended,-24.71
DEL-of-01a,DEL_OF,implausible,edit,This is one the best.,This is one of the best.,This is one of the best.,0.992,0.992,0,intended,-30.2
DEL-of-01b,DEL_OF,plausible,keep,This is one of the best.,This is one of the best.,This is one of the best.,0.996,0.996,0.996,intended,-26.31
DEL-a-01a,DEL_A,implausible,edit,He is good man.,He is a good man.,He is good man.,0.653,0.162,0.653,observed,-28.76
DEL-a-01b,DEL_A,plausible,keep,He is a good man.,He is a good man.,He is a good man.,0.873,0.892,0.892,intended,-25.74
DEL-a-02a,DEL_A,implausible,edit,She lives in big house.,She lives in a big house.,She lives in big house.,0.987,0.004,0.987,observed,-34.36
DEL-a-02b,DEL_A,plausible,keep,She lives in a big house.,She lives in a big house.,She lives in a big house.,1.0,1.0,1.0,intended,-33.68
DEL-the-01a,DEL_THE,implausible,edit,We went to store.,We went to the store.,We went to store.,0.933,0.059,0.933,observed,-34.91
DEL-the-01b,DEL_THE,plausible,keep,We went to the store.,We went to the store.,We went to the store.,0.949,1.0,1.0,intended,-33.59
INS-to-01a,INS_TO,implausible,edit,The mother gave the daughter to the candle.,The mother gave the daughter the candle.,The mother gave the daughter to the candle.,0.995,0,0.995,observed,-50.84
INS-to-01b,INS_TO,plausible,keep,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,1.0,1.0,1.0,intended,-48.27
INS-to-02a,INS_TO,implausible,edit,The waiter served the customers to the soup.,The waiter served the customers the soup.,The waiter served the customers to the soup.,0.971,0,0.977,observed,-63.21
INS-to-02b,INS_TO,plausible,keep,The waiter served the soup to the customers.,The waiter served the soup to the customers.,The waiter served the soup to the customers.,0.964,0.976,0.976,intended,-59.48
INS-to-03a,INS_TO,implausible,edit,The teacher read the children to the story.,The teacher read the children the story.,The teacher read the children to the story.,0.888,0,0.935,observed,-59.87
INS-to-03b,INS_TO,plausible,keep,The teacher read the story to the children.,The teacher read the story to the children.,The teacher read the story to the children.,0.87,0.87,0.87,intended,-55.34
INS-to-04a,INS_TO,implausible,edit,The judge awarded the winner to the trophy.,The judge awarded the winner the trophy.,The Judge awarded the winner to the trophy.,0.69,0,0.978,observed,-58.7
INS-to-04b,INS_TO,plausible,keep,The judge awarded the trophy to the winner.,The judge awarded the trophy to the winner.,The judge awarded the trophy to the winner.,0.94,1.0,1.0,intended,-46.39
