item_id,pair_id,family,condition,plausibility,observed,intended,edit_type,edit_distance,expected,literal_interp,edited_interp,notes,slp_observed,slp_intended,slp_gain,gate_slp,edit_from,edit_to,reach_dist,reach_ok,miss_ntok,contrast_gain_keep,gate_pass,gate_note
SUBN-02a,SUBN-02,SUBN,implausible,implaus,the boy did an experimemt today,the boy did an experiment today,sub,1,edit,nonword 'experimemt','experiment',single-char substitution typo,-56.779,-39.381,17.397,pass,experimemt,experiment,1,yes,,,PASS,
SUBN-02b,SUBN-02,SUBN,plausible,plaus,the boy did an experiment today,the boy did an experiment today,none,0,keep,'experiment','experiment' (already correct),correctly spelled twin,-39.381,-39.381,0.0,n/a,,,,,,,PASS,
SUBN-03a,SUBN-03,SUBN,implausible,implaus,she definately agreed with the plan,she definitely agreed with the plan,sub,1,edit,nonword 'definately','definitely',common a/i typo,-41.859,-38.409,3.45,pass,definately,definitely,1,yes,,,PASS,
SUBN-03b,SUBN-03,SUBN,plausible,plaus,she definitely agreed with the plan,she definitely agreed with the plan,none,0,keep,'definitely','definitely' (already correct),correctly spelled twin,-38.409,-38.409,0.0,n/a,,,,,,,PASS,
SUBN-04a,SUBN-04,SUBN,implausible,implaus,the mountian was covered in snow,the mountain was covered in snow,sub,1,edit,nonword 'mountian','mountain',transposition typo,-45.209,-29.921,15.288,pass,mountian,mountain,1,yes,,,PASS,
SUBN-04b,SUBN-04,SUBN,plausible,plaus,the mountain was covered in snow,the mountain was covered in snow,none,0,keep,'mountain','mountain' (already correct),correctly spelled twin,-29.921,-29.921,0.0,n/a,,,,,,,PASS,
SUBN-05a,SUBN-05,SUBN,implausible,implaus,they reciesofted the parcel yesterday,they received the parcel yesterday,sub,3,edit,nonword 'recieofted','received',FAR edit (d~3): expect LOW edit rate; may be unreachable at max_dist=2 -> reachability gate,-74.908,-38.148,36.761,pass,reciesofted,received,4,NO,,,FAIL,unreachable (dist>max_dist)
SUBN-06a,SUBN-06,SUBN,implausible,implaus,the chef seasoned the suop,the chef seasoned the soup,sub,1,edit,nonword 'suop','soup',d=1 transposition (suop->soup),-50.83,-38.355,12.474,pass,suop,soup,1,yes,,,PASS,
SUBN-06b,SUBN-06,SUBN,plausible,plaus,the chef seasoned the soup,the chef seasoned the soup,none,0,keep,'chef','chef' (already correct),correctly spelled twin,-38.355,-38.355,0.0,n/a,,,,,,,PASS,
DELTO-01a,DELTO-01,DEL_TO,implausible,implaus,The mother gave the candle a daughter,The mother gave the candle to a daughter,del_to,1,edit,candle is the recipient (implausible),daughter is the recipient via to-dative,role-swap pair; canonical Gibson item,-44.006,-41.352,2.654,pass,,to,,,1,,PASS,
DELTO-01b,DELTO-01,DEL_TO,plausible,plaus,The mother gave the daughter a candle,The mother gave the daughter a candle,none,0,keep,daughter is the recipient (plausible DO),'to' inserted (reject),"matched plausible: same words, swapped roles",-36.679,-36.679,0.0,n/a,,,,,,,PASS,
DELTO-02a,DELTO-02,DEL_TO,implausible,implaus,The waiter served the soup the customers,The waiter served the soup to the customers,del_to,1,edit,soup is the recipient (implausible),customers are the recipient via to-dative,role-swap pair,-42.293,-37.537,4.756,pass,,to,,,1,,PASS,
DELTO-02b,DELTO-02,DEL_TO,plausible,plaus,The waiter served the customers the soup,The waiter served the customers the soup,none,0,keep,customers are the recipient (plausible DO),'to' inserted (reject),matched plausible,-39.048,-39.048,0.0,n/a,,,,,,,PASS,
DELTO-03a,DELTO-03,DEL_TO,implausible,implaus,The teacher read the story the children,The teacher read the story to the children,del_to,1,edit,story is the recipient (implausible),children are the recipient via to-dative,role-swap pair,-36.749,-33.341,3.408,pass,,to,,,1,,PASS,
DELTO-03b,DELTO-03,DEL_TO,plausible,plaus,The teacher read the children the story,The teacher read the children the story,none,0,keep,children are the recipient (plausible DO),'to' inserted (reject),matched plausible,-33.945,-33.945,0.0,n/a,,,,,,,PASS,
DELTO-04a,DELTO-04,DEL_TO,implausible,implaus,The judge awarded the trophy the winner,The judge awarded the trophy to the winner,del_to,1,edit,trophy is the recipient (implausible),winner is the recipient via to-dative,role-swap pair,-41.784,-34.172,7.612,pass,,to,,,1,,PASS,
DELTO-04b,DELTO-04,DEL_TO,plausible,plaus,The judge awarded the winner the trophy,The judge awarded the winner the trophy,none,0,keep,winner is the recipient (plausible DO),'to' inserted (reject),matched plausible,-36.36,-36.36,0.0,n/a,,,,,,,PASS,
DELFOR-01a,DELFOR-01,DEL_FOR,implausible,implaus,The tailor sewed the dress the bride,The tailor sewed the dress for the bride,del_for,1,edit,dress is the beneficiary (implausible),bride is the beneficiary via for-dative,role-swap pair (for-benefactive),-44.109,-40.793,3.316,pass,,for,,,1,,PASS,
DELFOR-01b,DELFOR-01,DEL_FOR,plausible,plaus,The tailor sewed the bride the dress,The tailor sewed the bride the dress,none,0,keep,bride is the beneficiary (plausible DO),'for' inserted (reject),matched plausible,-42.895,-42.895,0.0,n/a,,,,,,,PASS,
DELFOR-02a,DELFOR-02,DEL_FOR,implausible,implaus,The father cooked the dinner the family,The father cooked the dinner for the family,del_for,1,edit,dinner is the beneficiary (implausible),family is the beneficiary via for-dative,role-swap pair,-40.91,-36.204,4.706,pass,,for,,,1,,PASS,
DELFOR-02b,DELFOR-02,DEL_FOR,plausible,plaus,The father cooked the family the dinner,The father cooked the family the dinner,none,0,keep,family is the beneficiary (plausible DO),'for' inserted (reject),matched plausible,-44.591,-44.591,0.0,n/a,,,,,,,PASS,
DELFOR-03a,DELFOR-03,DEL_FOR,implausible,implaus,The baker iced the cake the children,The baker iced the cake for the children,del_for,1,edit,cake is the beneficiary (implausible),children are the beneficiary via for-dative,role-swap pair,-44.301,-41.084,3.218,pass,,for,,,1,,PASS,
DELFOR-03b,DELFOR-03,DEL_FOR,plausible,plaus,The baker iced the children the cake,The baker iced the children the cake,none,0,keep,children are the beneficiary (plausible DO),'for' inserted (reject),matched plausible,-47.737,-47.737,0.0,n/a,,,,,,,PASS,
DELFROM-01a,DELFROM-01,DEL_FROM,implausible,implaus,The businessman benefited the tax law,The businessman benefited from the tax law,del_from,1,edit,businessman acts on the tax law (implausible transitive),businessman benefits from the tax law,transitive->intransitive (Gibson's other frame),-44.223,-38.171,6.052,pass,,from,,,1,,PASS,
DELFROM-01b,DELFROM-01,DEL_FROM,plausible,plaus,The businessman benefited from the tax law,The businessman benefited from the tax law,none,0,keep,benefits from the tax law (plausible),'from' removed/literal-transitive (reject),matched plausible: complete intransitive form,-38.171,-38.171,0.0,n/a,,,,,,,PASS,
DELFROM-02a,DELFROM-02,DEL_FROM,implausible,implaus,The patient slowly recovered the illness,The patient slowly recovered from the illness,del_from,1,edit,patient acts on the illness (implausible transitive),patient recovers from the illness,transitive->intransitive,-39.462,-33.493,5.969,pass,,from,,,1,,PASS,
DELFROM-02b,DELFROM-02,DEL_FROM,plausible,plaus,The patient slowly recovered from the illness,The patient slowly recovered from the illness,none,0,keep,recovers from the illness (plausible),'from' removed (reject),matched plausible,-33.493,-33.493,0.0,n/a,,,,,,,PASS,
INS-01a,INS-01,INS_DUP,implausible,implaus,the boy handed handed the pencil to the girl,the boy handed the pencil to the girl,ins,1,edit,two handing events (implausible),one handing event; 'handed' doubled,doubled content word,-52.157,-38.429,13.728,pass,handed,,,,,,PASS,
INS-01b,INS-01,INS_DUP,plausible,plaus,the boy handed the pencil to the girl,the boy handed the pencil to the girl,none,0,keep,one handing event,drop a word (reject),matched single-word twin,-38.429,-38.429,0.0,n/a,,,,,,-7.548,PASS,
INS-02a,INS-02,INS_DUP,implausible,implaus,the cat sat on on the mat,the cat sat on the mat,ins,1,edit,'on on' (implausible),'on' doubled,doubled function word,-43.381,-31.088,12.293,pass,on,,,,,,PASS,
INS-02b,INS-02,INS_DUP,plausible,plaus,the cat sat on the mat,the cat sat on the mat,none,0,keep,the cat sat on the mat,drop a word (reject),matched single-word twin,-31.088,-31.088,0.0,n/a,,,,,,-6.411,PASS,
INS-03a,INS-03,INS_DUP,implausible,implaus,she quickly quickly finished her lunch,she quickly finished her lunch,ins,1,edit,'quickly quickly' (implausible),'quickly' doubled,doubled adverb,-42.109,-33.659,8.451,pass,quickly,,,,,,PASS,
INS-03b,INS-03,INS_DUP,plausible,plaus,she quickly finished her lunch,she quickly finished her lunch,none,0,keep,she quickly finished her lunch,drop a word (reject),matched single-word twin,-33.659,-33.659,0.0,n/a,,,,,,2.968,PASS,LM prefers the tempting edit even here (+2.97) -- weak control
CTRL-01,CTRL-01,CTRL,control,plaus,The pirate buried the treasure.,The pirate buried the treasure.,none,0,keep,literal,none,clean; rare content word must be kept,-34.214,-34.214,0.0,n/a,,,,,,,PASS,
CTRL-02,CTRL-02,CTRL,control,plaus,The chef cooked the salmon.,The chef cooked the salmon.,none,0,keep,literal,none,clean baseline,-34.335,-34.335,0.0,n/a,,,,,,,PASS,
CTRL-03,CTRL-03,CTRL,control,plaus,The astronomer photographed the comet.,The astronomer photographed the comet.,none,0,keep,literal,none,clean; rare words,-38.459,-38.459,0.0,n/a,,,,,,,PASS,
CTRL-04,CTRL-04,CTRL,control,plaus,The gardener planted the tulips.,The gardener planted the tulips.,none,0,keep,literal,none,clean baseline,-37.448,-37.448,0.0,n/a,,,,,,,PASS,
LADDER-give-1,LADDER-give,LADDER,ladder,implaus_high,The volunteer gave the blanket the children,The volunteer gave the blanket to the children,del_to,1,edit,blanket is the recipient (impossible),blanket given to the children,ladder L1 pure-insert: NP1=blanket (object),-48.483,-41.479,7.004,pass,,to,,,1,,PASS,
LADDER-give-2,LADDER-give,LADDER,ladder,implaus_mid,The volunteer gave the shelter the children,The volunteer gave the shelter to the children,del_to,1,edit,shelter is the recipient (odd),shelter given to the children,ladder L2 pure-insert: NP1=shelter (institution) -- gate decides the grade,-46.025,-44.953,1.071,pass,,to,,,1,,PASS,
LADDER-give-3,LADDER-give,LADDER,ladder,plaus,The volunteer gave the family the children,The volunteer gave the family the children,none,0,keep,family is the recipient (plausible DO),'to' inserted (reject),ladder L3: NP1=family (good recipient) -> no edit,-43.289,-43.289,0.0,n/a,,,,,,,PASS,
LADDER-send-1,LADDER-send,LADDER,ladder,implaus_high,The clerk sent the package the manager,The clerk sent the package to the manager,del_to,1,edit,package is the recipient (impossible),package sent to the manager,ladder L1 pure-insert: NP1=package (object),-42.401,-37.273,5.128,pass,,to,,,1,,PASS,
LADDER-send-2,LADDER-send,LADDER,ladder,implaus_mid,The clerk sent the branch the manager,The clerk sent the branch to the manager,del_to,1,edit,branch is the recipient (odd),branch sent to the manager,ladder L2 pure-insert: NP1=branch (institution) -- gate decides the grade,-49.58,-43.064,6.516,pass,,to,,,1,,PASS,
LADDER-send-3,LADDER-send,LADDER,ladder,plaus,The clerk sent the team the manager,The clerk sent the team the manager,none,0,keep,team is the recipient (plausible DO),'to' inserted (reject),ladder L3: NP1=team (good recipient) -> no edit,-43.69,-43.69,0.0,n/a,,,,,,,PASS,
INS-04a,INS-04,INS_DUP,implausible,implaus,she went to to the store,she went to the store,ins,1,edit,'to to' (implausible),'to' doubled,doubled function word 'to',-34.22,-26.44,7.781,pass,to,,,,,,PASS,
INS-04b,INS-04,INS_DUP,plausible,plaus,she went to the store,she went to the store,none,0,keep,she went to the store,remove 'to' (reject),matched single-word twin,-26.44,-26.44,0.0,n/a,,,,,,-5.439,PASS,
INS-05a,INS-05,INS_DUP,implausible,implaus,he is is very tall,he is very tall,ins,1,edit,'is is' (implausible),'is' doubled,doubled copula 'is',-34.859,-27.466,7.393,pass,is,,,,,,PASS,
INS-05b,INS-05,INS_DUP,plausible,plaus,he is very tall,he is very tall,none,0,keep,he is very tall,remove 'is' (reject),matched single-word twin,-27.466,-27.466,0.0,n/a,,,,,,-0.161,PASS,
INS-06a,INS-06,INS_DUP,implausible,implaus,we saw a a movie,we saw a movie,ins,1,edit,'a a' (implausible),'a' doubled,doubled article 'a',-32.072,-24.489,7.583,pass,a,,,,,,PASS,
INS-06b,INS-06,INS_DUP,plausible,plaus,we saw a movie,we saw a movie,none,0,keep,we saw a movie,remove 'a' (reject),matched single-word twin,-24.489,-24.489,0.0,n/a,,,,,,-1.955,PASS,
INS-07a,INS-07,INS_DUP,implausible,implaus,the book on the the table,the book on the table,ins,1,edit,'the the' (implausible),'the' doubled,doubled article 'the',-34.782,-24.665,10.117,pass,the,,,,,,PASS,
INS-07b,INS-07,INS_DUP,plausible,plaus,the book on the table,the book on the table,none,0,keep,the book on the table,remove 'the' (reject),matched single-word twin,-24.665,-24.665,0.0,n/a,,,,,,2.687,PASS,LM prefers the tempting edit even here (+2.69) -- weak control
INS-08a,INS-08,INS_DUP,implausible,implaus,they walked walked home slowly,they walked home slowly,ins,1,edit,'walked walked' (implausible),'walked' doubled,doubled verb 'walked',-47.611,-33.856,13.755,pass,walked,,,,,,PASS,
INS-08b,INS-08,INS_DUP,plausible,plaus,they walked home slowly,they walked home slowly,none,0,keep,they walked home slowly,remove 'walked' (reject),matched single-word twin,-33.856,-33.856,0.0,n/a,,,,,,-3.512,PASS,
INS-09a,INS-09,INS_DUP,implausible,implaus,the very very tall man left,the very tall man left,ins,1,edit,'very very' (implausible),'very' doubled,doubled intensifier 'very',-40.408,-35.199,5.209,pass,very,,,,,,PASS,
INS-09b,INS-09,INS_DUP,plausible,plaus,the very tall man left,the very tall man left,none,0,keep,the very tall man left,remove 'very' (reject),matched single-word twin,-35.199,-35.199,0.0,n/a,,,,,,5.862,PASS,LM prefers the tempting edit even here (+5.86) -- weak control
DEL-to-05a,DEL-to-05,DEL_TO,implausible,implaus,I want go home,I want to go home,del_to,1,edit,'want go' ungrammatical,restore omitted 'to',high-pref jarring omission (widens DEL spread),-24.425,-18.806,5.618,pass,,to,,,1,,PASS,
DEL-to-05b,DEL-to-05,DEL_TO,plausible,plaus,I want to go home,I want to go home,none,0,keep,grammatical,'to' already present (reject),matched grammatical twin,-18.806,-18.806,0.0,n/a,,,,,,,PASS,
DEL-of-01a,DEL-of-01,DEL_OF,implausible,implaus,this is one the best,this is one of the best,del_of,1,edit,'one the best' ungrammatical,restore omitted 'of',high-pref jarring omission (widens DEL spread),-24.361,-19.627,4.734,pass,,of,,,1,,PASS,
DEL-of-01b,DEL-of-01,DEL_OF,plausible,plaus,this is one of the best,this is one of the best,none,0,keep,grammatical,'of' already present (reject),matched grammatical twin,-19.627,-19.627,0.0,n/a,,,,,,,PASS,
DEL-a-01a,DEL-a-01,DEL_A,implausible,implaus,he is good man,he is a good man,del_a,1,edit,'is good man' ungrammatical,restore omitted 'a',high-pref jarring omission (widens DEL spread),-27.278,-24.98,2.299,pass,,a,,,1,,PASS,
DEL-a-01b,DEL-a-01,DEL_A,plausible,plaus,he is a good man,he is a good man,none,0,keep,grammatical,'a' already present (reject),matched grammatical twin,-24.98,-24.98,0.0,n/a,,,,,,,PASS,
DEL-a-02a,DEL-a-02,DEL_A,implausible,implaus,she lives in big house,she lives in a big house,del_a,1,edit,'in big house' ungrammatical,restore omitted 'a',jarring omission (widens DEL spread),-34.758,-29.548,5.21,pass,,a,,,1,,PASS,
DEL-a-02b,DEL-a-02,DEL_A,plausible,plaus,she lives in a big house,she lives in a big house,none,0,keep,grammatical,'a' already present (reject),matched grammatical twin,-29.548,-29.548,0.0,n/a,,,,,,,PASS,
DEL-the-01a,DEL-the-01,DEL_THE,implausible,implaus,we went to store,we went to the store,del_the,1,edit,'to store' ungrammatical,restore omitted 'the',mid-pref omission (widens DEL spread),-25.61,-22.555,3.055,pass,,the,,,1,,PASS,
DEL-the-01b,DEL-the-01,DEL_THE,plausible,plaus,we went to the store,we went to the store,none,0,keep,grammatical,'the' already present (reject),matched grammatical twin,-22.555,-22.555,0.0,n/a,,,,,,,PASS,
INS-to-01a,INS-to-01,INS_TO,implausible,implaus,The mother gave the daughter to the candle,The mother gave the daughter the candle,ins,1,edit,daughter given to the candle (implausible),'to' spurious; daughter receives the candle,Gibson spurious-'to' insertion (delete to); mirror of DELTO-01,-43.256,-39.67,3.586,pass,to,,,,,,PASS,
INS-to-01b,INS-to-01,INS_TO,plausible,plaus,The mother gave the candle to the daughter,The mother gave the candle to the daughter,none,0,keep,candle given to the daughter (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-37.558,-37.558,0.0,n/a,,,,,,-7.369,PASS,
INS-to-02a,INS-to-02,INS_TO,implausible,implaus,The waiter served the customers to the soup,The waiter served the customers the soup,ins,1,edit,customers served to the soup (implausible),'to' spurious; customers receive the soup,spurious-'to' insertion (delete to),-45.404,-39.048,6.355,pass,to,,,,,,PASS,
INS-to-02b,INS-to-02,INS_TO,plausible,plaus,The waiter served the soup to the customers,The waiter served the soup to the customers,none,0,keep,soup served to the customers (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-37.537,-37.537,0.0,n/a,,,,,,-4.756,PASS,
INS-to-03a,INS-to-03,INS_TO,implausible,implaus,The teacher read the children to the story,The teacher read the children the story,ins,1,edit,children read to the story (implausible),'to' spurious; children get the story,spurious-'to' insertion (delete to),-40.643,-33.945,6.698,pass,to,,,,,,PASS,
INS-to-03b,INS-to-03,INS_TO,plausible,plaus,The teacher read the story to the children,The teacher read the story to the children,none,0,keep,story read to the children (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-33.341,-33.341,0.0,n/a,,,,,,-3.408,PASS,
INS-to-04a,INS-to-04,INS_TO,implausible,implaus,The judge awarded the winner to the trophy,The judge awarded the winner the trophy,ins,1,edit,winner awarded to the trophy (implausible),'to' spurious; winner gets the trophy,spurious-'to' insertion (delete to),-44.444,-36.36,8.084,pass,to,,,,,,PASS,
INS-to-04b,INS-to-04,INS_TO,plausible,plaus,The judge awarded the trophy to the winner,The judge awarded the trophy to the winner,none,0,keep,trophy awarded to the winner (plausible),delete 'to' (reject),matched: 'to' is legit -> keep,-34.172,-34.172,0.0,n/a,,,,,,-7.612,PASS,
