item_id,family,expected,observed,target,off_map,la_map,off_ok,la_ok,off_ok_ci,la_ok_ci,off_edited,la_edited,off_del0,la_del0,off_plit,la_plit,off_logZ,la_logZ,dlogZ,off_spread,la_spread
SUBN-06b,SUBN,keep,The chef seasoned the soup.,The chef seasoned the soup.,The chef seasoned the soup.,The chef seasoned the soup.,1,1,1,1,0,0,1.9549773111972706,1.9898671421420266,0.57825,0.652934,-58.05662193798044,-58.424688719931304,-0.3680667819508656,0.592,5.283
DELTO-01a,DEL_TO,edit,The mother gave the candle a daughter.,The mother gave the candle to a daughter.,The mother gave the candle a daughter.,The mother gave the candle a daughter.,0,0,0,0,0,0,1.5689636792838546,3.933793021737083e-06,0.738896,0.999968,-61.01837300940916,-53.13417056470313,7.884202444706027,0.425,10.352
DELTO-01b,DEL_TO,keep,The mother gave the daughter a candle.,The mother gave the daughter a candle.,The mother gave the daughter a candle.,The mother gave the daughter a candle.,1,1,1,1,0,0,2.043175174093758e-05,4.440421676119967e-06,0.999995,1.0,-42.41042248242172,-42.788217970307905,-0.377795487886182,11.2,0.122
DELTO-02a,DEL_TO,edit,The waiter served the soup the customers.,The waiter served the soup to the customers.,The waiter served the soup the customers.,The waiter served the soup the customers.,0,0,0,0,0,0,1.9999768430693137,2.949875568436014e-06,0.793349,0.670174,-64.79979373362428,-56.71166170350578,8.088132030118501,0.361,0.88
DELTO-02b,DEL_TO,keep,The waiter served the customers the soup.,The waiter served the customers the soup.,The waiter served the customers the soup.,The waiter served the customers the soup.,1,1,1,1,0,0,1.9999778508084058,1.9998895052848675,0.703321,0.935776,-60.649344485235886,-60.852784158745855,-0.20343967350996905,0.446,10.068
DELTO-03a,DEL_TO,edit,The teacher read the story the children.,The teacher read the story to the children.,The teacher read the story the children.,The teacher read the story the children.,0,0,0,0,0,0,1.9934449391839162,1.6944341704011636e-06,0.832351,0.842221,-61.353621075380524,-50.53997694381401,10.813644131566512,0.831,1.222
DELTO-03b,DEL_TO,keep,The teacher read the children the story.,The teacher read the children the story.,The teacher read the children the story.,The teacher read the children the story.,1,1,1,1,0,0,1.999983614986034,2.8048995990618634e-06,0.918695,0.980814,-59.07055700328128,-49.39677717062092,9.673779832660358,0.014,1.845
DELTO-04a,DEL_TO,edit,The judge awarded the trophy the winner.,The judge awarded the trophy to the winner.,The judge is awarded the trophy the winner.,The Judge awarded the trophy to the winner.,0,0,0,1,1,1,0.000888932167021934,2.957118381409354e-06,0.000147,0.0,-53.207364525891364,-49.56076478277584,3.646599743115523,7.723,0.057
DELTO-04b,DEL_TO,keep,The judge awarded the winner the trophy.,The judge awarded the winner the trophy.,The judges were awarded the winner the trophy.,The Judge awarded the winner the trophy.,0,0,0,1,1,1,0.013622073390256536,2.1204621707124767e-06,0.001537,0.216199,-51.386042701020585,-45.799524846085866,5.586517854934719,4.951,0.885
DELFOR-01a,DEL_FOR,edit,The tailor sewed the dress the bride.,The tailor sewed the dress for the bride.,The tailor sewed the dress the bride.,The tailor was sewed the dress the bride.,0,0,0,0,0,1,1.9994643382851613,0.00019556967705133151,0.824494,0.0,-72.79313486796715,-71.58032422323265,1.2128106447345033,0.432,8.528
DELFOR-01b,DEL_FOR,keep,The tailor sewed the bride the dress.,The tailor sewed the bride the dress.,The tailor sewed the bride the dress.,The tailor seed the bride the dress.,1,0,1,0,0,1,1.99998206398855,2.91494992398477e-06,0.484375,0.0,-72.9419403273193,-63.478768729082496,9.463171598236805,0.456,16.174
DELFOR-02a,DEL_FOR,edit,The father cooked the dinner the family.,The father cooked the dinner for the family.,The father cooked the dinner the family.,The father and mother cooked the dinner the family.,0,0,0,0,0,1,1.9999749350946479,3.7124726268144586e-06,0.838969,0.0,-61.304818182712424,-64.33833672363639,-3.0335185409239642,0.239,6.152
DELFOR-02b,DEL_FOR,keep,The father cooked the family the dinner.,The father cooked the family the dinner.,The father cooked the family the dinner.,The father of the family the dinner.,1,0,1,0,0,1,1.9641836297182782,4.590164702791336e-06,0.921627,0.0,-60.558310189435744,-66.9221209426069,-6.363810753171151,0.088,4.518
DELFOR-03a,DEL_FOR,edit,The baker iced the cake the children.,The baker iced the cake for the children.,The baker iced the cake the children.,The Baker and the cakes the children.,0,0,0,0,0,1,1.9997700791826514,1.452152757810195e-06,0.895581,0.0,-68.22413948734531,-69.59710084398777,-1.3729613566424632,0.537,3.51
DELFOR-03b,DEL_FOR,keep,The baker iced the children the cake.,The baker iced the children the cake.,The baker iced the children the cake.,The Bakerite the children the cake.,1,0,1,0,0,1,1.999983496246286,1.8197699081718842e-06,0.961065,0.0,-67.8435708979532,-68.02317083673523,-0.17959993878203306,0.157,7.952
DELFROM-01a,DEL_FROM,edit,The businessman benefited the tax law.,The businessman benefited from the tax law.,The businessman benefited the tax law.,The businessman has benefited from the tax law.,0,0,0,0,0,1,1.7135183222892751,3.5527443169470346e-06,0.40075,0.0,-64.88919948555302,-55.77242328613471,9.116776199418311,0.726,11.031
DELFROM-01b,DEL_FROM,keep,The businessman benefited from the tax law.,The businessman benefited from the tax law.,The businessman benefited from the tax law.,The businessman has benefited from the tax law.,1,0,1,0,0,1,1.9979118675456777,0.892549750392937,0.681024,0.254613,-58.11921212337798,-57.79436982618287,0.3248422971951044,0.512,0.216
DELFROM-02a,DEL_FROM,edit,The patient slowly recovered the illness.,The patient slowly recovered from the illness.,The patient slowly recovered the illness.,The patient slowly recovered the illness.,0,0,0,0,0,0,1.230928707082822,1.6894661763530804e-06,0.576503,0.931292,-57.53505054582477,-45.854115644447795,11.680934901376972,0.109,2.925
DELFROM-02b,DEL_FROM,keep,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,The patient slowly recovered from the illness.,1,1,1,1,0,0,1.337489760921154,1.7001498279862988e-06,0.653402,0.86194,-54.06987723529727,-42.86931128498751,11.200565950309759,0.727,1.831
INS-01a,INS_DUP,edit,The boy handed handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed handed the pencil to the girl.,The boy handed handed the pencil to the girl.,0,0,0,0,0,0,1.8335466641520877,1.57744795748906e-06,0.913054,1.0,-66.43708501924357,-56.74289103548395,9.694193983759618,2.443,0.4
INS-01b,INS_DUP,keep,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,The boy handed the pencil to the girl.,1,1,1,1,0,0,1.9997970159569534,1.8623164499405102e-06,0.93119,0.967365,-57.67966253732074,-48.30422384852193,9.375438688798809,0.442,0.722
INS-02a,INS_DUP,edit,The cat sat on on the mat.,The cat sat on the mat.,The cat sat on on the mat.,The cat sat on on the mat.,0,0,0,0,0,0,1.9879108103496357,1.2604489357996438e-06,0.89364,0.521783,-60.038954799772554,-51.897363653718344,8.14159114605421,0.103,4.675
INS-02b,INS_DUP,keep,The cat sat on the mat.,The cat sat on the mat.,The cat sat on the mat.,The cat sat on the mat.,1,1,1,1,0,0,1.20609668555785,1.6655793081942495e-06,0.575904,0.621141,-50.44044074389619,-42.8144308664694,7.626009877426789,0.518,0.108
INS-03a,INS_DUP,edit,She quickly quickly finished her lunch.,She quickly finished her lunch.,She’s quickly quickly finished her lunch.,She quickly quickly finished her lunch.,0,0,0,0,1,0,0.007133350560277402,3.383564331099994e-07,0.0,0.686873,-65.58671431281155,-50.44496514912029,15.141749163691259,2.938,0.786
INS-03b,INS_DUP,keep,She quickly finished her lunch.,She quickly finished her lunch.,She quickly finished her lunch.,She quickly finished her lunch.,1,1,1,1,0,0,1.0135977025638146e-07,7.667190110765721e-08,1.0,0.999981,-39.48199603571793,-39.92028478116691,-0.4382887454489861,17.642,0.024
CTRL-01,CTRL,keep,The pirate buried the treasure.,The pirate buried the treasure.,The pirate buried the treasure.,The pirate buried the treasure.,1,1,1,1,0,0,1.9990254744251574,3.544963758092399e-07,0.940475,0.997187,-52.35911976234357,-44.5697378905788,7.789381871764768,0.784,17.793
CTRL-02,CTRL,keep,The chef cooked the salmon.,The chef cooked the salmon.,The chef cooked the salmon.,The chef cooked the salmon.,1,1,1,1,0,0,1.9999676137493907,0.0006375134337622186,0.821969,0.999829,-55.19464202667345,-47.798411918362746,7.396230108310704,0.065,8.052
CTRL-03,CTRL,keep,The astronomer photographed the comet.,The astronomer photographed the comet.,The astronomer photographed the comet.,The astronomer photographed the comet.,1,1,1,1,0,0,1.9999742114250927,1.0911502076909616e-06,0.761152,0.996678,-52.79162259199201,-41.47290563385396,11.318716958138047,0.512,23.312
CTRL-04,CTRL,keep,The gardener planted the tulips.,The gardener planted the tulips.,The gardener planted the tulips.,The first time gardener planted the tulips.,1,0,1,0,0,1,1.9900651029878513,0.3700758669689949,0.905218,0.0,-60.14607806638724,-65.5657876937823,-5.419709627395058,0.58,1.698
LADDER-give-1,LADDER,edit,The volunteer gave the blanket the children.,The volunteer gave the blanket to the children.,The volunteer gave the blanket the children.,The volunteer gave me the Planet The Children.,0,0,0,0,0,1,1.9999751276449573,0.518189976507432,0.661259,0.222437,-68.4635861998793,-67.93597311672819,0.5276130831511097,0.227,1.051
LADDER-give-2,LADDER,edit,The volunteer gave the shelter the children.,The volunteer gave the shelter to the children.,The volunteer gave the shelter the children.,The volunteer gave the shelter the children.,0,0,0,0,0,0,1.9991053895364181,2.6486303908586964e-06,0.675213,0.999952,-63.52073042726202,-55.361428238384654,8.15930218887737,0.836,14.514
LADDER-give-3,LADDER,keep,The volunteer gave the family the children.,The volunteer gave the family the children.,The volunteer gave the family the children.,The volunteer gave the family the children.,1,1,1,1,0,0,1.9996911078521709,1.8078149495191514e-06,0.767905,0.541673,-60.84282289412437,-49.95774107924074,10.885081814883627,0.508,0.116
LADDER-send-1,LADDER,edit,The clerk sent the package the manager.,The clerk sent the package to the manager.,The Clerk sent the package to the manager.,The Clerk sent the package to the manager.,0,0,1,1,1,1,1.3480092872126578e-05,6.740528686990474e-06,3e-06,0.0,-49.99037443637585,-53.02964962751996,-3.0392751911441067,11.971,3.028
LADDER-send-2,LADDER,edit,The clerk sent the branch the manager.,The clerk sent the branch to the manager.,The Clerk sent the following branch the manager.,The clerk sent the branch to the manager.,0,1,0,1,1,1,0.0037290167338871268,1.6886466313973928e-06,0.00136,0.0,-59.29234357425267,-57.80237677564506,1.489966798607611,6.281,0.388
LADDER-send-3,LADDER,keep,The clerk sent the team the manager.,The clerk sent the team the manager.,- The clerk sent the team the manager.,The clerk sent the team the manager.,0,1,0,1,1,0,1.9999745426714832,7.589508753198597e-07,0.322083,0.916246,-60.63163239746373,-51.88901130203158,8.742621095432156,0.556,0.794
INS-04a,INS_DUP,edit,She went to to the store.,She went to the store.,She went to to the store.,She went to to the store.,0,0,0,0,0,0,4.5988203789075045e-08,4.055395314204995e-08,0.756983,0.851428,-41.667744708157926,-41.91412590304203,-0.24638119488410126,0.492,0.328
INS-04b,INS_DUP,keep,She went to the store.,She went to the store.,She went to the store.,She went to the store.,1,1,1,1,0,0,1.0062610723571729e-07,5.047294637438837e-08,0.97479,0.999937,-32.877520989235904,-33.55953101099931,-0.6820100217634035,0.391,1.142
INS-05a,INS_DUP,edit,He is is very tall.,He is very tall.,He is is very tall.,He is is very tall.,0,0,0,0,0,0,2.394754673437589e-07,1.5560913893654204e-07,0.999987,0.882597,-37.47533995986796,-38.54965125780929,-1.0743112979413283,1.2,0.314
INS-05b,INS_DUP,keep,He is very tall.,He is very tall.,He is very tall.,He is very tall.,1,1,1,1,0,0,5.426411101588922e-07,4.4942422683460897e-07,1.0,0.999978,-29.66117251747792,-29.991608948018182,-0.3304364305402636,0.859,0.6
INS-06a,INS_DUP,edit,We saw a a movie.,We saw a movie.,We saw a little of a movie.,We saw a a movie.,0,0,0,0,1,0,1.9547345611988158e-07,2.567674053369099e-07,0.0,0.944587,-49.90639636642436,-42.010353930096684,7.896042436327676,0.8,0.33
INS-06b,INS_DUP,keep,We saw a movie.,We saw a movie.,We saw a movie.,We saw a movie.,1,1,1,1,0,0,6.242584874614719e-08,5.214329319940689e-07,0.999715,0.66664,-34.31747390549268,-32.963384060470105,1.3540898450225782,8.113,0.337
INS-07a,INS_DUP,edit,The book on the the table.,The book on the table.,The Book on the the Table.,The book on the the table.,0,0,0,0,1,0,0.00036022901062572377,3.165919248367993e-06,0.000132,0.497757,-40.24003656622995,-39.25492071928194,0.9851158469480126,8.56,0.269
INS-07b,INS_DUP,keep,The book on the table.,The book on the table.,The Book on the Table.,The Book on the Table.,0,0,1,1,1,1,7.196561694208125e-06,4.054650469728452e-06,0.128143,0.212111,-31.965117395764757,-31.46896652945605,0.49615086630870664,3.104,0.127
INS-08a,INS_DUP,edit,They walked walked home slowly.,They walked home slowly.,The walked walked home slowly.,They walked walked home slowly.,0,0,0,0,1,0,1.99903451235823,2.598118058699636e-06,0.0,0.627769,-62.57151223860287,-51.35507800011724,11.216434238485633,0.526,0.523
INS-08b,INS_DUP,keep,They walked home slowly.,They walked home slowly.,They say they walked home slowly.,They walked home slowly.,0,1,0,1,1,0,0.5515606169126646,1.3384804260231056e-07,0.0,1.0,-49.65527354628908,-38.797548223437495,10.857725322851586,1.664,1.56
INS-09a,INS_DUP,edit,The very very tall man left.,The very tall man left.,The very very tall man left.,The very very tall man left.,0,0,0,0,0,0,0.10134532863892111,4.836386302924185e-06,0.906158,0.999968,-53.03402536752142,-48.64576156163619,4.388263805885231,3.812,1.295
INS-09b,INS_DUP,keep,The very tall man left.,The very tall man left.,For the very tall man left.,The very tall man left.,0,1,0,1,1,0,1.026209641244987,0.01718715030842829,0.010569,0.982816,-45.576310151488926,-39.70507422128033,5.871235930208599,4.52,0.305
DEL-to-05a,DEL_TO,edit,I want go home.,I want to go home.,I want to go home.,I want to go home.,1,1,1,1,1,1,1.1325518054619798e-06,1.2795170375455765e-06,0.0,0.0,-29.202772758112484,-29.245224326030524,-0.0424515679180395,0.049,0.436
DEL-to-05b,DEL_TO,keep,I want to go home.,I want to go home.,I want to go home.,I want to go home.,1,1,1,1,0,0,0.0010437946911516405,0.0010401734956504611,0.808953,0.992104,-25.285747449901155,-25.050455340014814,0.2352921098863412,0.044,0.115
DEL-of-01a,DEL_OF,edit,This is one the best.,This is one of the best.,This is one of the best.,This is one the best.,1,0,1,0,1,0,6.034748842085114e-07,1.242278623511403e-06,0.0,0.999623,-30.83387557503148,-31.57916825419937,-0.7452926791678891,0.224,0.542
DEL-of-01b,DEL_OF,keep,This is one of the best.,This is one of the best.,This is one of the best.,This is one of the best.,1,1,1,1,0,0,0.00014462702113166902,1.1180435827196617e-06,1.0,1.0,-26.354048285051253,-26.356263772697513,-0.002215487646260783,0.371,0.028
DEL-a-01a,DEL_A,edit,He is good man.,He is a good man.,He is good man.,He is good man.,0,0,0,0,0,0,1.2641494028668127e-07,2.7017969498279417e-07,0.935743,0.890248,-27.507185133955105,-28.041167457419313,-0.5339823234642083,3.435,1.615
DEL-a-01b,DEL_A,keep,He is a good man.,He is a good man.,He is a good man.,He is a good man.,1,1,1,1,0,0,4.6647154471324156e-07,4.905644657560894e-07,0.950847,1.0,-25.21981713609688,-25.361129153027758,-0.14131201693087903,0.404,0.627
DEL-a-02a,DEL_A,edit,She lives in big house.,She lives in a big house.,She lives in big house.,She lives in big house.,0,0,0,0,0,0,2.217764861673671e-07,2.7414302253279097e-07,0.985765,1.0,-32.51609767236731,-33.36712000892409,-0.8510223365567811,1.871,0.279
DEL-a-02b,DEL_A,keep,She lives in a big house.,She lives in a big house.,She lives in a big house.,She lives in a big house.,1,1,1,1,0,0,2.4376361781932793e-07,9.068932847267883e-08,1.0,0.994943,-33.24754647245272,-33.300180681066514,-0.05263420861379586,0.195,0.76
DEL-the-01a,DEL_THE,edit,We went to store.,We went to the store.,We went to store.,We went to store.,0,0,0,0,0,0,3.7824785104213304e-07,9.240497799851045e-08,0.692652,0.839183,-34.12337315966403,-34.36625037456877,-0.24287721490474468,0.813,0.086
DEL-the-01b,DEL_THE,keep,We went to the store.,We went to the store.,We went to the store.,We went to the store.,1,1,1,1,0,0,1.7571921370349707e-07,4.920497787139639e-07,0.99967,0.999985,-35.62416895537978,-31.39798462403924,4.226184331340541,8.412,0.11
INS-to-01a,INS_TO,edit,The mother gave the daughter to the candle.,The mother gave the daughter the candle.,The mother gave the daughter to the candle.,The mother gave the daughter to the candle.,0,0,0,0,0,0,9.679225686664978e-05,1.7495192217189608e-06,0.999999,0.996878,-50.52257445674072,-51.15989922314388,-0.6373247664031609,9.942,5.766
INS-to-01b,INS_TO,keep,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,The mother gave the candle to the daughter.,1,1,1,1,0,0,2.0291520801969668e-05,3.0400851084802284e-06,0.999944,0.999962,-48.11487570195738,-47.46045305494215,0.654422647015231,11.602,0.683
INS-to-02a,INS_TO,edit,The waiter served the customers to the soup.,The waiter served the customers the soup.,The waiter served the customers to the soup.,The waiter served the customers to the soup.,0,0,0,0,0,0,1.9999556284478208,1.38032571589507,0.867278,0.631999,-63.763762049308134,-63.17074513119859,0.5930169181095408,0.186,0.801
INS-to-02b,INS_TO,keep,The waiter served the soup to the customers.,The waiter served the soup to the customers.,The waiter served the soup to the customers.,The waiter served the soup to the customers.,1,1,1,1,0,0,1.9999711478642093,3.201800413435305e-05,0.978949,0.937501,-59.747717201949996,-49.06577670868344,10.68194049326656,0.126,11.251
INS-to-03a,INS_TO,edit,The teacher read the children to the story.,The teacher read the children the story.,The teacher read the children to the story.,The teacher read the children to the story.,0,0,0,0,0,0,1.9999728467999829,1.3015083714810416e-06,0.783906,0.959486,-59.202989504235624,-50.20064475599761,9.002344748238016,1.598,0.567
INS-to-03b,INS_TO,keep,The teacher read the story to the children.,The teacher read the story to the children.,The teacher read The story to the children.,The teacher read the story to the children.,0,1,1,1,1,0,0.0027525469013627906,9.700325225867979e-06,0.001177,0.999955,-48.359707803094494,-44.858587754130745,3.501120048963749,7.255,0.838
INS-to-04a,INS_TO,edit,The judge awarded the winner to the trophy.,The judge awarded the winner the trophy.,The judge awarded the winner to the trophy.,The Judge awarded the winner to the trophy.,0,0,0,0,0,1,5.321641413606824e-07,2.682008718312689e-06,0.938626,0.270589,-45.926874828619404,-48.601192132083774,-2.6743173034643704,2.727,0.174
INS-to-04b,INS_TO,keep,The judge awarded the trophy to the winner.,The judge awarded the trophy to the winner.,The Judge awarded the trophy to the winner.,The judge awarded the trophy to the winner.,0,1,1,1,1,0,1.9998563600620551,2.778610415365269e-06,0.193734,0.56496,-55.672813831967225,-45.5014493455572,10.171364486410027,0.548,0.817
