dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uids,n_intended,critical_word_idx,comprehension_q,correct_answer,meta
clark2026,,1,1.2,clark2026//1/1.2,His band was apparently no longer bandaged tightly.,his band was apparently no longer bandaged tightly .,His band was apparently no longer bandaged tightly.,,11,implausible,,word_form,clark2026//1/2.2,1,1,,,"{""critical_cond"": ""1"", ""critical_word"": ""band"", ""id"": ""12"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""bandaged tightly"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,1.Control,clark2026//1/1.Control,His band was apparently no longer excavated carefully.,his band was apparently no longer excavated carefully .,His band was apparently no longer excavated carefully.,,12,implausible,,,,0,1,,,"{""critical_cond"": ""1"", ""critical_word"": ""band"", ""id"": ""13"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""excavated carefully"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,2.1,clark2026//1/2.1,His hand was apparently no longer performing live.,his hand was apparently no longer performing live .,His hand was apparently no longer performing live.,,13,implausible,,word_form,clark2026//1/1.1,1,1,,,"{""critical_cond"": ""2"", ""critical_word"": ""hand"", ""id"": ""14"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""performing live"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,2.2,clark2026//1/2.2,His hand was apparently no longer bandaged tightly.,his hand was apparently no longer bandaged tightly .,His hand was apparently no longer bandaged tightly.,,14,plausible,,word_form,clark2026//1/2.2,1,1,,,"{""critical_cond"": ""2"", ""critical_word"": ""hand"", ""id"": ""15"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""bandaged tightly"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,2.Control,clark2026//1/2.Control,His hand was apparently no longer excavated carefully.,his hand was apparently no longer excavated carefully .,His hand was apparently no longer excavated carefully.,,15,implausible,,,,0,1,,,"{""critical_cond"": ""2"", ""critical_word"": ""hand"", ""id"": ""16"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""excavated carefully"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,Control.1,clark2026//1/Control.1,His house was apparently no longer performing live.,his house was apparently no longer performing live .,His house was apparently no longer performing live.,,16,implausible,,,,0,1,,,"{""critical_cond"": ""Control"", ""critical_word"": ""house"", ""id"": ""17"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""performing live"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,Control.2,clark2026//1/Control.2,His house was apparently no longer bandaged tightly.,his house was apparently no longer bandaged tightly .,His house was apparently no longer bandaged tightly.,,17,implausible,,,,0,1,,,"{""critical_cond"": ""Control"", ""critical_word"": ""house"", ""id"": ""18"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""bandaged tightly"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,Typo1.1,clark2026//1/Typo1.1,His bnd was apparently no longer performing live.,his bnd was apparently no longer performing live .,His bnd was apparently no longer performing live.,,18,implausible,,typo,clark2026//1/1.1,1,1,,,"{""critical_cond"": ""Typo1"", ""critical_word"": ""bnd"", ""id"": ""19"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""performing live"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,1,Typo2.2,clark2026//1/Typo2.2,His hnd was apparently no longer bandaged tightly.,his hnd was apparently no longer bandaged tightly .,His hnd was apparently no longer bandaged tightly.,,19,implausible,,typo,clark2026//1/2.2,1,1,,,"{""critical_cond"": ""Typo2"", ""critical_word"": ""hnd"", ""id"": ""20"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""bandaged tightly"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
clark2026,,2,1.1,clark2026//2/1.1,In the base were a wide range of soldiers from all over.,in the base were a wide range of soldiers from all over .,In the base were a wide range of soldiers from all over.,,20,plausible,,word_form,clark2026//2/1.1,1,2,,,"{""critical_cond"": ""1"", ""critical_word"": ""base"", ""id"": ""21"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""soldiers from all over"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,1.2,clark2026//2/1.2,In the base were a wide range of flowers from my mom.,in the base were a wide range of flowers from my mom .,In the base were a wide range of flowers from my mom.,,21,implausible,,word_form,clark2026//2/2.2,1,2,,,"{""critical_cond"": ""1"", ""critical_word"": ""base"", ""id"": ""22"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""flowers from my mom"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,1.Control,clark2026//2/1.Control,In the base were a wide range of homophones in this language.,in the base were a wide range of homophones in this language .,In the base were a wide range of homophones in this language.,,22,implausible,,,,0,2,,,"{""critical_cond"": ""1"", ""critical_word"": ""base"", ""id"": ""23"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""homophones in this language"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,2.1,clark2026//2/2.1,In the vase were a wide range of soldiers from all over.,in the vase were a wide range of soldiers from all over .,In the vase were a wide range of soldiers from all over.,,23,implausible,,word_form,clark2026//2/1.1,1,2,,,"{""critical_cond"": ""2"", ""critical_word"": ""vase"", ""id"": ""24"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""soldiers from all over"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,2.2,clark2026//2/2.2,In the vase were a wide range of flowers from my mom.,in the vase were a wide range of flowers from my mom .,In the vase were a wide range of flowers from my mom.,,24,plausible,,word_form,clark2026//2/2.2,1,2,,,"{""critical_cond"": ""2"", ""critical_word"": ""vase"", ""id"": ""25"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""flowers from my mom"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,2.Control,clark2026//2/2.Control,In the vase were a wide range of homophones in this language.,in the vase were a wide range of homophones in this language .,In the vase were a wide range of homophones in this language.,,25,implausible,,,,0,2,,,"{""critical_cond"": ""2"", ""critical_word"": ""vase"", ""id"": ""26"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""homophones in this language"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,Control.1,clark2026//2/Control.1,In the pebble were a wide range of soldiers from all over.,in the pebble were a wide range of soldiers from all over .,In the pebble were a wide range of soldiers from all over.,,26,implausible,,,,0,2,,,"{""critical_cond"": ""Control"", ""critical_word"": ""pebble"", ""id"": ""27"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""soldiers from all over"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,Control.2,clark2026//2/Control.2,In the pebble were a wide range of flowers from my mom.,in the pebble were a wide range of flowers from my mom .,In the pebble were a wide range of flowers from my mom.,,27,implausible,,,,0,2,,,"{""critical_cond"": ""Control"", ""critical_word"": ""pebble"", ""id"": ""28"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""flowers from my mom"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,Typo1.1,clark2026//2/Typo1.1,In the basse were a wide range of soldiers from all over.,in the basse were a wide range of soldiers from all over .,In the basse were a wide range of soldiers from all over.,,28,implausible,,typo,clark2026//2/1.1,1,2,,,"{""critical_cond"": ""Typo1"", ""critical_word"": ""basse"", ""id"": ""29"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""soldiers from all over"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,2,Typo2.2,clark2026//2/Typo2.2,In the vasse were a wide range of flowers from my mom.,in the vasse were a wide range of flowers from my mom .,In the vasse were a wide range of flowers from my mom.,,29,implausible,,typo,clark2026//2/2.2,1,2,,,"{""critical_cond"": ""Typo2"", ""critical_word"": ""vasse"", ""id"": ""30"", ""intervening"": ""were a wide range of"", ""intervening_cond"": ""long"", ""preamble"": ""In the"", ""predicate"": ""flowers from my mom"", ""source_critical"": {""Control"": ""pebble"", ""Critical1"": ""base"", ""Critical2"": ""vase"", ""Typo1"": ""basse"", ""Typo2"": ""vasse""}}"
clark2026,,3,1.1,clark2026//3/1.1,She got a lovely fan while spending some time in the gift shop this morning.,she got a lovely fan while spending some time in the gift shop this morning .,She got a lovely fan while spending some time in the gift shop this morning.,,30,plausible,,word_form,clark2026//3/1.1,1,4,,,"{""critical_cond"": ""1"", ""critical_word"": ""fan"", ""id"": ""31"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""gift shop this morning"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,1.2,clark2026//3/1.2,She got a lovely fan while spending some time in the sun over the holidays.,she got a lovely fan while spending some time in the sun over the holidays .,She got a lovely fan while spending some time in the sun over the holidays.,,31,implausible,,word_form,clark2026//3/2.2,1,4,,,"{""critical_cond"": ""1"", ""critical_word"": ""fan"", ""id"": ""32"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""sun over the holidays"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,1.Control,clark2026//3/1.Control,She got a lovely fan while spending some time in the smoothie at the juice bar.,she got a lovely fan while spending some time in the smoothie at the juice bar .,She got a lovely fan while spending some time in the smoothie at the juice bar.,,32,implausible,,,,0,4,,,"{""critical_cond"": ""1"", ""critical_word"": ""fan"", ""id"": ""33"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""smoothie at the juice bar"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,2.1,clark2026//3/2.1,She got a lovely tan while spending some time in the gift shop this morning.,she got a lovely tan while spending some time in the gift shop this morning .,She got a lovely tan while spending some time in the gift shop this morning.,,33,implausible,,word_form,clark2026//3/1.1,1,4,,,"{""critical_cond"": ""2"", ""critical_word"": ""tan"", ""id"": ""34"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""gift shop this morning"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,2.2,clark2026//3/2.2,She got a lovely tan while spending some time in the sun over the holidays.,she got a lovely tan while spending some time in the sun over the holidays .,She got a lovely tan while spending some time in the sun over the holidays.,,34,plausible,,word_form,clark2026//3/2.2,1,4,,,"{""critical_cond"": ""2"", ""critical_word"": ""tan"", ""id"": ""35"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""sun over the holidays"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,2.Control,clark2026//3/2.Control,She got a lovely tan while spending some time in the smoothie at the juice bar.,she got a lovely tan while spending some time in the smoothie at the juice bar .,She got a lovely tan while spending some time in the smoothie at the juice bar.,,35,implausible,,,,0,4,,,"{""critical_cond"": ""2"", ""critical_word"": ""tan"", ""id"": ""36"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""smoothie at the juice bar"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,Control.1,clark2026//3/Control.1,She got a lovely voice while spending some time in the gift shop this morning.,she got a lovely voice while spending some time in the gift shop this morning .,She got a lovely voice while spending some time in the gift shop this morning.,,36,implausible,,,,0,4,,,"{""critical_cond"": ""Control"", ""critical_word"": ""voice"", ""id"": ""37"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""gift shop this morning"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,Control.2,clark2026//3/Control.2,She got a lovely voice while spending some time in the sun over the holidays.,she got a lovely voice while spending some time in the sun over the holidays .,She got a lovely voice while spending some time in the sun over the holidays.,,37,implausible,,,,0,4,,,"{""critical_cond"": ""Control"", ""critical_word"": ""voice"", ""id"": ""38"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""sun over the holidays"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,Typo1.1,clark2026//3/Typo1.1,She got a lovely faan while spending some time in the gift shop this morning.,she got a lovely faan while spending some time in the gift shop this morning .,She got a lovely faan while spending some time in the gift shop this morning.,,38,implausible,,typo,clark2026//3/1.1,1,4,,,"{""critical_cond"": ""Typo1"", ""critical_word"": ""faan"", ""id"": ""39"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""gift shop this morning"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,3,Typo2.2,clark2026//3/Typo2.2,She got a lovely taan while spending some time in the sun over the holidays.,she got a lovely taan while spending some time in the sun over the holidays .,She got a lovely taan while spending some time in the sun over the holidays.,,39,implausible,,typo,clark2026//3/2.2,1,4,,,"{""critical_cond"": ""Typo2"", ""critical_word"": ""taan"", ""id"": ""40"", ""intervening"": ""while spending some time in the"", ""intervening_cond"": ""long"", ""preamble"": ""She got a lovely"", ""predicate"": ""sun over the holidays"", ""source_critical"": {""Control"": ""voice"", ""Critical1"": ""fan"", ""Critical2"": ""tan"", ""Typo1"": ""faan"", ""Typo2"": ""taan""}}"
clark2026,,4,1.1,clark2026//4/1.1,The car that was provided by the dealer was excellent.,the car that was provided by the dealer was excellent .,The car that was provided by the dealer was excellent.,,40,plausible,,word_form,clark2026//4/1.1,1,1,,,"{""critical_cond"": ""1"", ""critical_word"": ""car"", ""id"": ""41"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""dealer was excellent"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,1.2,clark2026//4/1.2,The car that was provided by the doctor was excellent.,the car that was provided by the doctor was excellent .,The car that was provided by the doctor was excellent.,,41,implausible,,word_form,clark2026//4/2.2,1,1,,,"{""critical_cond"": ""1"", ""critical_word"": ""car"", ""id"": ""42"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""doctor was excellent"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,1.Control,clark2026//4/1.Control,The car that was provided by the beehive was large.,the car that was provided by the beehive was large .,The car that was provided by the beehive was large.,,42,implausible,,,,0,1,,,"{""critical_cond"": ""1"", ""critical_word"": ""car"", ""id"": ""43"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""beehive was large"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,2.1,clark2026//4/2.1,The care that was provided by the dealer was excellent.,the care that was provided by the dealer was excellent .,The care that was provided by the dealer was excellent.,,43,implausible,,word_form,clark2026//4/1.1,1,1,,,"{""critical_cond"": ""2"", ""critical_word"": ""care"", ""id"": ""44"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""dealer was excellent"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,2.2,clark2026//4/2.2,The care that was provided by the doctor was excellent.,the care that was provided by the doctor was excellent .,The care that was provided by the doctor was excellent.,,44,plausible,,word_form,clark2026//4/2.2,1,1,,,"{""critical_cond"": ""2"", ""critical_word"": ""care"", ""id"": ""45"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""doctor was excellent"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,2.Control,clark2026//4/2.Control,The care that was provided by the beehive was large.,the care that was provided by the beehive was large .,The care that was provided by the beehive was large.,,45,implausible,,,,0,1,,,"{""critical_cond"": ""2"", ""critical_word"": ""care"", ""id"": ""46"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""beehive was large"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,Control.1,clark2026//4/Control.1,The dog that was provided by the dealer was excellent.,the dog that was provided by the dealer was excellent .,The dog that was provided by the dealer was excellent.,,46,implausible,,,,0,1,,,"{""critical_cond"": ""Control"", ""critical_word"": ""dog"", ""id"": ""47"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""dealer was excellent"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
clark2026,,4,Control.2,clark2026//4/Control.2,The dog that was provided by the doctor was excellent.,the dog that was provided by the doctor was excellent .,The dog that was provided by the doctor was excellent.,,47,implausible,,,,0,1,,,"{""critical_cond"": ""Control"", ""critical_word"": ""dog"", ""id"": ""48"", ""intervening"": ""that was provided by the"", ""intervening_cond"": ""long"", ""preamble"": ""The"", ""predicate"": ""doctor was excellent"", ""source_critical"": {""Control"": ""dog"", ""Critical1"": ""car"", ""Critical2"": ""care"", ""Typo1"": ""cxar"", ""Typo2"": ""cxare""}}"
