dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,critical_word_idx,comprehension_q,correct_answer,meta
gibson2013,dopo_to,4,PO_implausible,gibson2013/dopo_to/4/PO_implausible,The contractor lent the homeowner to the saw.,the contractor lent the homeowner to the saw .,The contractor lent the homeowner to the saw.,,14,implausible,,dative,gibson2013/dopo_to/4/DO_plausible,The contractor lent the homeowner the saw.,del,del,to,,5,Did the homeowner receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/4/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,4,PO_plausible,gibson2013/dopo_to/4/PO_plausible,The contractor lent the saw to the homeowner.,the contractor lent the saw to the homeowner .,The contractor lent the saw to the homeowner.,,15,plausible,,dative,gibson2013/dopo_to/4/PO_plausible,The contractor lent the saw to the homeowner.,none,,,,,Did the homeowner receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/4/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,5,DO_implausible,gibson2013/dopo_to/5/DO_implausible,The sailing club leased the boat the man.,the sailing club leased the boat the man .,The sailing club leased the boat the man.,,16,implausible,,dative,gibson2013/dopo_to/5/PO_plausible,The sailing club leased the boat to the man.,ins,ins,,to,,Did the man receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/5/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,5,DO_plausible,gibson2013/dopo_to/5/DO_plausible,The sailing club leased the man the boat.,the sailing club leased the man the boat .,The sailing club leased the man the boat.,,17,plausible,,dative,gibson2013/dopo_to/5/DO_plausible,The sailing club leased the man the boat.,none,,,,,Did the man receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/5/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,5,PO_implausible,gibson2013/dopo_to/5/PO_implausible,The sailing club leased the man to the boat.,the sailing club leased the man to the boat .,The sailing club leased the man to the boat.,,18,implausible,,dative,gibson2013/dopo_to/5/DO_plausible,The sailing club leased the man the boat.,del,del,to,,6,Did the man receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/5/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,5,PO_plausible,gibson2013/dopo_to/5/PO_plausible,The sailing club leased the boat to the man.,the sailing club leased the boat to the man .,The sailing club leased the boat to the man.,,19,plausible,,dative,gibson2013/dopo_to/5/PO_plausible,The sailing club leased the boat to the man.,none,,,,,Did the man receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/5/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,6,DO_implausible,gibson2013/dopo_to/6/DO_implausible,The girl tossed the apple the boy.,the girl tossed the apple the boy .,The girl tossed the apple the boy.,,20,implausible,,dative,gibson2013/dopo_to/6/PO_plausible,The girl tossed the apple to the boy.,ins,ins,,to,,Did the apple receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/6/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,6,DO_plausible,gibson2013/dopo_to/6/DO_plausible,The girl tossed the boy the apple.,the girl tossed the boy the apple .,The girl tossed the boy the apple.,,21,plausible,,dative,gibson2013/dopo_to/6/DO_plausible,The girl tossed the boy the apple.,none,,,,,Did the apple receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/6/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,6,PO_implausible,gibson2013/dopo_to/6/PO_implausible,The girl tossed the boy to the apple.,the girl tossed the boy to the apple .,The girl tossed the boy to the apple.,,22,implausible,,dative,gibson2013/dopo_to/6/DO_plausible,The girl tossed the boy the apple.,del,del,to,,5,Did the apple receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/6/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,6,PO_plausible,gibson2013/dopo_to/6/PO_plausible,The girl tossed the apple to the boy.,the girl tossed the apple to the boy .,The girl tossed the apple to the boy.,,23,plausible,,dative,gibson2013/dopo_to/6/PO_plausible,The girl tossed the apple to the boy.,none,,,,,Did the apple receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/6/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,7,DO_implausible,gibson2013/dopo_to/7/DO_implausible,The daughter passed the bowl the mother.,the daughter passed the bowl the mother .,The daughter passed the bowl the mother.,,24,implausible,,dative,gibson2013/dopo_to/7/PO_plausible,The daughter passed the bowl to the mother.,ins,ins,,to,,Did the bowl receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/7/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,7,DO_plausible,gibson2013/dopo_to/7/DO_plausible,The daughter passed the mother the bowl.,the daughter passed the mother the bowl .,The daughter passed the mother the bowl.,,25,plausible,,dative,gibson2013/dopo_to/7/DO_plausible,The daughter passed the mother the bowl.,none,,,,,Did the bowl receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/7/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,7,PO_implausible,gibson2013/dopo_to/7/PO_implausible,The daughter passed the mother to the bowl.,the daughter passed the mother to the bowl .,The daughter passed the mother to the bowl.,,26,implausible,,dative,gibson2013/dopo_to/7/DO_plausible,The daughter passed the mother the bowl.,del,del,to,,5,Did the bowl receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/7/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,7,PO_plausible,gibson2013/dopo_to/7/PO_plausible,The daughter passed the bowl to the mother.,the daughter passed the bowl to the mother .,The daughter passed the bowl to the mother.,,27,plausible,,dative,gibson2013/dopo_to/7/PO_plausible,The daughter passed the bowl to the mother.,none,,,,,Did the bowl receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/7/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,8,DO_implausible,gibson2013/dopo_to/8/DO_implausible,The scuba instructor rented the equipment the tourist.,the scuba instructor rented the equipment the tourist .,The scuba instructor rented the equipment the tourist.,,28,implausible,,dative,gibson2013/dopo_to/8/PO_plausible,The scuba instructor rented the equipment to the tourist.,ins,ins,,to,,Did the equipment receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/8/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,8,DO_plausible,gibson2013/dopo_to/8/DO_plausible,The scuba instructor rented the tourist the equipment.,the scuba instructor rented the tourist the equipment .,The scuba instructor rented the tourist the equipment.,,29,plausible,,dative,gibson2013/dopo_to/8/DO_plausible,The scuba instructor rented the tourist the equipment.,none,,,,,Did the equipment receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/8/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,8,PO_implausible,gibson2013/dopo_to/8/PO_implausible,The scuba instructor rented the tourist to the equipment.,the scuba instructor rented the tourist to the equipment .,The scuba instructor rented the tourist to the equipment.,,30,implausible,,dative,gibson2013/dopo_to/8/DO_plausible,The scuba instructor rented the tourist the equipment.,del,del,to,,6,Did the equipment receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/8/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,8,PO_plausible,gibson2013/dopo_to/8/PO_plausible,The scuba instructor rented the equipment to the tourist.,the scuba instructor rented the equipment to the tourist .,The scuba instructor rented the equipment to the tourist.,,31,plausible,,dative,gibson2013/dopo_to/8/PO_plausible,The scuba instructor rented the equipment to the tourist.,none,,,,,Did the equipment receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/8/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,9,DO_implausible,gibson2013/dopo_to/9/DO_implausible,The boy handed the pencil the girl.,the boy handed the pencil the girl .,The boy handed the pencil the girl.,,32,implausible,,dative,gibson2013/dopo_to/9/PO_plausible,The boy handed the pencil to the girl.,ins,ins,,to,,Did the pencil receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/9/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,9,DO_plausible,gibson2013/dopo_to/9/DO_plausible,The boy handed the girl the pencil.,the boy handed the girl the pencil .,The boy handed the girl the pencil.,,33,plausible,,dative,gibson2013/dopo_to/9/DO_plausible,The boy handed the girl the pencil.,none,,,,,Did the pencil receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/9/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,9,PO_implausible,gibson2013/dopo_to/9/PO_implausible,The boy handed the girl to the pencil.,the boy handed the girl to the pencil .,The boy handed the girl to the pencil.,,34,implausible,,dative,gibson2013/dopo_to/9/DO_plausible,The boy handed the girl the pencil.,del,del,to,,5,Did the pencil receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/9/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,9,PO_plausible,gibson2013/dopo_to/9/PO_plausible,The boy handed the pencil to the girl.,the boy handed the pencil to the girl .,The boy handed the pencil to the girl.,,35,plausible,,dative,gibson2013/dopo_to/9/PO_plausible,The boy handed the pencil to the girl.,none,,,,,Did the pencil receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/9/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,10,DO_implausible,gibson2013/dopo_to/10/DO_implausible,The nanny threw the toy the child.,the nanny threw the toy the child .,The nanny threw the toy the child.,,36,implausible,,dative,gibson2013/dopo_to/10/PO_plausible,The nanny threw the toy to the child.,ins,ins,,to,,Did the toy receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/10/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,10,DO_plausible,gibson2013/dopo_to/10/DO_plausible,The nanny threw the child the toy.,the nanny threw the child the toy .,The nanny threw the child the toy.,,37,plausible,,dative,gibson2013/dopo_to/10/DO_plausible,The nanny threw the child the toy.,none,,,,,Did the toy receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/10/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,10,PO_implausible,gibson2013/dopo_to/10/PO_implausible,The nanny threw the child to the toy.,the nanny threw the child to the toy .,The nanny threw the child to the toy.,,38,implausible,,dative,gibson2013/dopo_to/10/DO_plausible,The nanny threw the child the toy.,del,del,to,,5,Did the toy receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/10/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,10,PO_plausible,gibson2013/dopo_to/10/PO_plausible,The nanny threw the toy to the child.,the nanny threw the toy to the child .,The nanny threw the toy to the child.,,39,plausible,,dative,gibson2013/dopo_to/10/PO_plausible,The nanny threw the toy to the child.,none,,,,,Did the toy receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/10/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,11,DO_implausible,gibson2013/dopo_to/11/DO_implausible,The nephew mailed the postcard the aunt.,the nephew mailed the postcard the aunt .,The nephew mailed the postcard the aunt.,,40,implausible,,dative,gibson2013/dopo_to/11/PO_plausible,The nephew mailed the postcard to the aunt.,ins,ins,,to,,Did the postcard receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/11/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,11,DO_plausible,gibson2013/dopo_to/11/DO_plausible,The nephew mailed the aunt the postcard.,the nephew mailed the aunt the postcard .,The nephew mailed the aunt the postcard.,,41,plausible,,dative,gibson2013/dopo_to/11/DO_plausible,The nephew mailed the aunt the postcard.,none,,,,,Did the postcard receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/11/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,11,PO_implausible,gibson2013/dopo_to/11/PO_implausible,The nephew mailed the aunt to the postcard.,the nephew mailed the aunt to the postcard .,The nephew mailed the aunt to the postcard.,,42,implausible,,dative,gibson2013/dopo_to/11/DO_plausible,The nephew mailed the aunt the postcard.,del,del,to,,5,Did the postcard receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/11/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,11,PO_plausible,gibson2013/dopo_to/11/PO_plausible,The nephew mailed the postcard to the aunt.,the nephew mailed the postcard to the aunt .,The nephew mailed the postcard to the aunt.,,43,plausible,,dative,gibson2013/dopo_to/11/PO_plausible,The nephew mailed the postcard to the aunt.,none,,,,,Did the postcard receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/11/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,12,DO_implausible,gibson2013/dopo_to/12/DO_implausible,The father gave the car the son.,the father gave the car the son .,The father gave the car the son.,,44,implausible,,dative,gibson2013/dopo_to/12/PO_plausible,The father gave the car to the son.,ins,ins,,to,,Did the car receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/12/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,12,DO_plausible,gibson2013/dopo_to/12/DO_plausible,The father gave the son the car.,the father gave the son the car .,The father gave the son the car.,,45,plausible,,dative,gibson2013/dopo_to/12/DO_plausible,The father gave the son the car.,none,,,,,Did the car receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/12/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,12,PO_implausible,gibson2013/dopo_to/12/PO_implausible,The father gave the son to the car.,the father gave the son to the car .,The father gave the son to the car.,,46,implausible,,dative,gibson2013/dopo_to/12/DO_plausible,The father gave the son the car.,del,del,to,,5,Did the car receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/12/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,12,PO_plausible,gibson2013/dopo_to/12/PO_plausible,The father gave the car to the son.,the father gave the car to the son .,The father gave the car to the son.,,47,plausible,,dative,gibson2013/dopo_to/12/PO_plausible,The father gave the car to the son.,none,,,,,Did the car receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/12/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,13,DO_implausible,gibson2013/dopo_to/13/DO_implausible,The shop sold the bike the student.,the shop sold the bike the student .,The shop sold the bike the student.,,48,implausible,,dative,gibson2013/dopo_to/13/PO_plausible,The shop sold the bike to the student.,ins,ins,,to,,Did the bike receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/13/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,13,DO_plausible,gibson2013/dopo_to/13/DO_plausible,The shop sold the student the bike.,the shop sold the student the bike .,The shop sold the student the bike.,,49,plausible,,dative,gibson2013/dopo_to/13/DO_plausible,The shop sold the student the bike.,none,,,,,Did the bike receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/13/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,13,PO_implausible,gibson2013/dopo_to/13/PO_implausible,The shop sold the student to the bike.,the shop sold the student to the bike .,The shop sold the student to the bike.,,50,implausible,,dative,gibson2013/dopo_to/13/DO_plausible,The shop sold the student the bike.,del,del,to,,5,Did the bike receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/13/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,13,PO_plausible,gibson2013/dopo_to/13/PO_plausible,The shop sold the bike to the student.,the shop sold the bike to the student .,The shop sold the bike to the student.,,51,plausible,,dative,gibson2013/dopo_to/13/PO_plausible,The shop sold the bike to the student.,none,,,,,Did the bike receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/13/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,14,DO_implausible,gibson2013/dopo_to/14/DO_implausible,The janitor lent the mop the teacher.,the janitor lent the mop the teacher .,The janitor lent the mop the teacher.,,52,implausible,,dative,gibson2013/dopo_to/14/PO_plausible,The janitor lent the mop to the teacher.,ins,ins,,to,,Did the mop receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/14/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,14,DO_plausible,gibson2013/dopo_to/14/DO_plausible,The janitor lent the teacher the mop.,the janitor lent the teacher the mop .,The janitor lent the teacher the mop.,,53,plausible,,dative,gibson2013/dopo_to/14/DO_plausible,The janitor lent the teacher the mop.,none,,,,,Did the mop receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/14/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,14,PO_implausible,gibson2013/dopo_to/14/PO_implausible,The janitor lent the teacher to the mop.,the janitor lent the teacher to the mop .,The janitor lent the teacher to the mop.,,54,implausible,,dative,gibson2013/dopo_to/14/DO_plausible,The janitor lent the teacher the mop.,del,del,to,,5,Did the mop receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/14/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,14,PO_plausible,gibson2013/dopo_to/14/PO_plausible,The janitor lent the mop to the teacher.,the janitor lent the mop to the teacher .,The janitor lent the mop to the teacher.,,55,plausible,,dative,gibson2013/dopo_to/14/PO_plausible,The janitor lent the mop to the teacher.,none,,,,,Did the mop receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/14/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,15,DO_implausible,gibson2013/dopo_to/15/DO_implausible,The car dealer leased the SUV the plumber.,the car dealer leased the suv the plumber .,The car dealer leased the SUV the plumber.,,56,implausible,,dative,gibson2013/dopo_to/15/PO_plausible,The car dealer leased the SUV to the plumber.,ins,ins,,to,,Did the SUV receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/15/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,15,DO_plausible,gibson2013/dopo_to/15/DO_plausible,The car dealer leased the plumber the SUV.,the car dealer leased the plumber the suv .,The car dealer leased the plumber the SUV.,,57,plausible,,dative,gibson2013/dopo_to/15/DO_plausible,The car dealer leased the plumber the SUV.,none,,,,,Did the SUV receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/15/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,15,PO_implausible,gibson2013/dopo_to/15/PO_implausible,The car dealer leased the plumber to the SUV.,the car dealer leased the plumber to the suv .,The car dealer leased the plumber to the SUV.,,58,implausible,,dative,gibson2013/dopo_to/15/DO_plausible,The car dealer leased the plumber the SUV.,del,del,to,,6,Did the SUV receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/15/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,15,PO_plausible,gibson2013/dopo_to/15/PO_plausible,The car dealer leased the SUV to the plumber.,the car dealer leased the suv to the plumber .,The car dealer leased the SUV to the plumber.,,59,plausible,,dative,gibson2013/dopo_to/15/PO_plausible,The car dealer leased the SUV to the plumber.,none,,,,,Did the SUV receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/15/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,16,DO_implausible,gibson2013/dopo_to/16/DO_implausible,The host tossed the microphone the contestant.,the host tossed the microphone the contestant .,The host tossed the microphone the contestant.,,60,implausible,,dative,gibson2013/dopo_to/16/PO_plausible,The host tossed the microphone to the contestant.,ins,ins,,to,,Did the contestant receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/16/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
